candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support
Kevin Abel,AbelForChange,,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Advanced,Lost,None,-9.4799995,30.540001,No,White,No,No,No,No,Yes,No,,No,No,,,,,,,,,,
Lucy McBath,lucymcbath,,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Advanced,Advanced,On the Ballot,-9.4799995,36.27,Yes,Nonwhite,No,No,No,No,Yes,No,,Yes,Yes,,,,,,,,,,
Steven Knight Griffin,SKnightGriffin,,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Lost,None,None,-9.4799995,6.9499998,No,White,No,No,No,No,No,No,,No,No,,,,,,,,,,
Carolyn Bourdeaux,Carolyn4GA7,,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Advanced,Advanced,On the Ballot,-12.73,27.280001,Yes,White,No,No,No,No,No,No,,Yes,,,,,No,,,,,,
David Kim,DavidKim2018,,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Advanced,Lost,None,-12.73,25.98,No,Nonwhite,No,No,No,Yes,No,No,,No,,,,,No,,,,,,
Ethan Pham,VoteEthanPham,,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,None,-12.73,17.84,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,,,,,
Kathleen Allen,,,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,None,-12.73,11.02,No,White,No,No,No,No,No,No,,No,,,,,Yes,,,,,,
Melissa Davis,DavisforGA,,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,None,-12.73,13.67,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,,,,,
Steve Reilly,SteveReilly2018,,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,None,-12.73,4.1999998,No,White,Yes,No,No,No,No,No,,No,,,,,No,,,,,,
Dave Cooper,RealDavidCooper,,GA,U.S. House Georgia District 9,Representative,Regular,5/22/18,Lost,None,None,-60.810001,47.27,No,White,Yes,No,No,No,No,No,,,,,,,No,,,Yes,,,
Josh McCall,Mccallforall,,GA,U.S. House Georgia District 9,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-60.810001,52.73,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,No,,,
Andy McGuire,DrAndyMcGuire,,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,-8.1400003,5.25,No,White,No,No,No,No,Yes,No,,,No,,,,No,,No,,No,,
Cathy Glasson,CathyGlasson,,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,-8.1400003,20.549999,No,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,,Yes,,Yes,,
Fred Hubbell,FredHubbell,,IA,Governor of Iowa,Governor,Regular,6/5/18,Advanced,None,On the Ballot,-8.1400003,55.41,Yes,White,No,No,No,Yes,No,No,,,No,,,,No,,No,,No,,
John Norris,JohnNorrisIA,,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,-8.1400003,11.44,No,White,No,No,No,No,No,Yes,,,No,,,,No,,No,,No,,
Nate Boulton,NateBoulton,,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,-8.1400003,4.9699998,No,White,No,No,Yes,No,No,No,,,No,,,,No,,No,,No,,
Ross Wilburn,letsbeiowa,,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,-8.1400003,2.1700001,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,No,,No,,
Abby Finkenauer,Abby4Iowa,,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-1.73,66.800003,Yes,White,No,No,Yes,No,No,No,Yes,Yes,,Yes,,,,,,,,,
Courtney Rowe,RoweCourtneylr7,,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,None,-1.73,7.5900002,No,White,No,No,No,No,Yes,No,No,No,,No,,,,Yes,,,,,
George Ramsey,SenatorRobHogg,,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,None,-1.73,6.3699999,No,Nonwhite,Yes,No,No,No,No,No,No,No,,No,,,,,,,,,
Thomas Heckroth,HeckrothForIowa,,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,None,-1.73,19.120001,No,White,No,No,No,No,No,Yes,No,No,,No,,,,,,,,,
Cindy Axne,Axne4Congress,,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-4.1100001,57.799999,Yes,White,No,No,No,No,No,No,Yes,Yes,,,,No,No,,,,,,
Eddie Mauro,eddiejmauro,,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Lost,None,None,-4.1100001,26.35,No,White,No,No,No,Yes,No,No,No,No,,,,No,No,,,,,,
Pete D'Alessandro,peteforiowa,,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Lost,None,None,-4.1100001,15.58,No,White,No,No,No,No,No,No,No,No,,,,Yes,Yes,,,,,,
J.D. Scholten,scholten4iowa,,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-25.110001,51.259998,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,,Yes,,
John Paschen,apaschenforiowa,,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Lost,None,None,-25.110001,16.719999,No,White,No,No,No,No,Yes,No,,,,,,,No,,,,No,,
Leann Jacobsen,LeannForIowa,,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Lost,None,None,-25.110001,31.92,No,White,No,No,Yes,No,No,No,,,,,,,No,,,,No,,
A.J. Balukoff,,,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,None,None,-34.330002,40.099998,No,White,No,No,No,Yes,No,No,,,,,,,No,,,No,,,
Paulette E. Jordan,PauletteEJordan,,ID,Governor of Idaho,Governor,Regular,5/15/18,Advanced,None,On the Ballot,-34.330002,58.400002,Yes,Nonwhite,No,No,Yes,No,No,No,,,,,,,Yes,,,Yes,,,
Peter Dill,,,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,None,None,-34.330002,1.4,No,White,No,No,No,No,No,No,,,,,,,No,,,No,,,
Christina McNeil,ForMcneil,,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-39.43,69.699997,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
James Vandermaas,ibdmoose,,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,None,-39.43,15.8,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Michael Smith,,,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,None,-39.43,14.5,No,White,Yes,No,No,No,No,No,,,,,,,,,,,,,
Aaron Swisher,SwisherforIdaho,,ID,U.S. House Idaho District 2,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-28.809999,67.599998,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Peter Rickards,,,ID,U.S. House Idaho District 2,Representative,Regular,5/15/18,Lost,None,None,-28.809999,32.400002,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Bob Daiber,BobDaiber,,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,14.48,1.1,No,White,No,No,Yes,No,No,No,,,,,,,No,,,No,,,
Chris Kennedy,KennedyforIL,,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,14.48,24.4,No,White,No,No,No,Yes,No,No,,,,,,,No,,,No,,,
Daniel K. Biss,DanielBiss,,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,14.48,26.700001,No,White,No,No,Yes,No,Yes,No,,,,,,,Yes,,,Yes,,,
J.B. Pritzker,JBPritzker,,IL,Governor of Illinois,Governor,Regular,3/20/18,Advanced,None,On the Ballot,14.48,45.099998,Yes,White,No,No,No,Yes,No,No,,,,,,,No,,,No,,,
Robert Marshall,GovDrMarshall,,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,14.48,1.1,No,White,Yes,No,No,No,Yes,No,,,,,,,No,,,No,,,
Tio Hardiman,TioHardiman,,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,14.48,1.6,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,,,No,,,
Brendan Kelly,Kelly4SouthrnIL,,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,Advanced,None,On the Ballot,-13.26,81,Yes,White,Yes,No,No,No,No,No,Yes,,,Yes,,,,,,,,Yes,
David Bequette,dbequette,,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,Lost,None,None,-13.26,19,No,White,Yes,No,No,No,No,No,No,,,No,,,,,,,,No,
Angel Sides,AngelS4Congress,,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,None,-6.73,4.1999998,No,White,No,No,No,No,No,No,No,No,,,,,,No,,,,,
Betsy Londrigan,BetsyforIL,,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Advanced,None,On the Ballot,-6.73,45.700001,Yes,White,No,No,No,No,No,No,Yes,Yes,,,,,,No,,,,,
David Gill,GillForYou2016,,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,None,-6.73,14.4,No,White,No,No,No,No,Yes,No,No,No,,,,,,Yes,,,,,
Erik Jones,ErikJones4IL,,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,None,-6.73,22.4,No,White,No,No,No,No,No,No,No,No,,,,,,No,,,,,
Jonathan Ebel,jonathan_ebel,,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,None,-6.73,13.3,No,White,Yes,No,No,No,No,No,No,No,,,,,,No,,,,,
Daniel Roldan-Johnson,WeCanMAF,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,-7.96,2.3,No,White,No,Yes,No,No,No,No,No,No,No,,No,,No,,,,,,
George Weber,Weber_4Congress,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,-7.96,5,No,White,No,No,No,No,Yes,No,No,No,No,,No,,No,,,,,,
Jim Walz,WalzForCongress,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,-7.96,10,No,White,No,No,No,No,No,No,No,No,No,,No,,Yes,,,,,,
John Hosta,JohnJHosta,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,-7.96,5,No,White,No,No,No,No,No,No,No,No,No,,No,,No,,,,,,
Lauren Underwood,LaurenUnderwood,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Advanced,None,On the Ballot,-7.96,57.299999,Yes,Nonwhite,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,,No,,,,,,
Matt Brolley,MattBrolley,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,-7.96,13.4,No,White,No,No,Yes,No,Yes,No,No,No,No,,No,,No,,,,,,
Victor Swanson,electvswanson,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,-7.96,7,No,White,Yes,No,No,No,No,No,No,No,No,,No,,No,,,,,,
Carl Spoerer,CarlResists,,IL,U.S. House Illinois District 15,Representative,Regular,3/20/18,Lost,None,None,-44.630001,37.900002,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,
Kevin Gaither,Gaither4IL,,IL,U.S. House Illinois District 15,Representative,Regular,3/20/18,Advanced,None,On the Ballot,-44.630001,62.099998,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Amy Murri Briel,MurriBrielIL16,,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,None,-17.360001,19.5,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,
Beth Vercolio-Osmund,VercolioOsmund,,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,None,-17.360001,13,No,White,No,No,No,No,No,No,,,,,,,No,,,,,,
Neill Mohammad,neill4illinois,,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,None,-17.360001,27.200001,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,,,,,,
Sara Dady,Sara4Congress,,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Advanced,None,On the Ballot,-17.360001,40.299999,Yes,White,No,No,No,No,No,No,,,,,,,No,,,,,,
Brian Deters,deters4congress,,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Lost,None,None,-28.83,39.5,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Darrel Miller,,,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Lost,None,None,-28.83,18.799999,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Junius Rodriguez,18thIL,,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Advanced,None,On the Ballot,-28.83,41.700001,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Jesus Garcia,ChuyForCongress,,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Advanced,None,On the Ballot,65.089996,66.199997,Yes,Nonwhite,No,No,Yes,No,No,No,,No,,,,Yes,Yes,,,,,,
Richard Gonzalez,RichG4Congress,,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Lost,None,None,65.089996,11.9,No,Nonwhite,No,No,No,No,No,No,,No,,,,No,No,,,,,,
Sol Flores,SolAmoresFlores,,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Lost,None,None,65.089996,21.9,No,Nonwhite,No,No,No,No,No,No,,Yes,,,,No,No,,,,,,
Amanda Howland,AmandaHowland06,,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,12.7,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Becky Anderson Wilkins,BeckyforIL,,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,6,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Carole Cheney,Carole4IL06,,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,17.4,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Jennifer Zordani,JenniferZordani,,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,4.0999999,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Kelly Mazeski,KellyMazeski,,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,26.799999,No,White,No,No,No,No,Yes,No,No,Yes,No,,,,,,,,,,
Ryan Huffman,HuffmanForIL6,,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,3.5,No,White,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,
Sean Casten,SeanCasten,,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Advanced,None,On the Ballot,0.67000002,29.5,Yes,White,No,No,No,Yes,Yes,No,Yes,No,Yes,,,,,,,,,,
Douglas Carpenter,,,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,5.3000002,No,White,No,No,No,No,Yes,No,,,No,,,,,,,,,,
John Petroff,johnhpetroff,,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,1.5,No,White,No,No,No,No,No,No,,,No,,,,,,,,,,
Mel Hall,melforcongress,,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-23.43,41.700001,Yes,White,No,No,No,Yes,Yes,No,,,No,,,,,,,,,,
Pat Hackett,HackettCongress,,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,28.200001,No,White,No,Yes,No,No,No,No,,,No,,,,,,,,,,
Roland Leech,,,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,1.2,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,
Yatish Joshi,joshiforindiana,,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,22.1,No,Nonwhite,No,No,No,Yes,Yes,No,,,Yes,,,,,,,,,,
Courtney Tritch,dne,,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-35.48,79.099998,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
John Roberson,,,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Lost,None,None,-35.48,10.2,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,
Tommy Schrader,TommySchraderFW,,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Lost,None,None,-35.48,10.7,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Darin Patrick Griesey,Darin4Change,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001,6.6999998,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Joe Mackey,joe4hoosiers,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001,16.1,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Roger Day,DayForCongress,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001,12.4,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Roland Ellis,,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001,9.1999998,No,White,,,,No,,No,,,,,,,,,,,,,
Tobi Beck,BeckForIndiana,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-34.110001,34.599998,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,
Veronikka Ziol,Ziol_4_IN_4th,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001,21.1,No,White,No,Yes,No,No,No,No,,,,,,,,,,,,,
Dee Thornton,VoteThornton,,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-15.58,53,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Dion Douglas,Dion_IN05,,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,10.3,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Eshel Faraggi,,,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,7.5999999,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,
Kyle Brenden Moore,,,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,23.700001,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,
Sean Dugdale,,,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,5.5,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
George Thomas Holland,,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,11.1,No,White,Yes,No,No,No,Yes,No,,,,,,,,,,,,,
Jeannine Lee Lake,JeannineLeeLake,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-38.529999,38.299999,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Jim Pruett,PruettforIN,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,25.799999,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Joshua Williamson,,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,7.3000002,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,
K. Lave,,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,1.9,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Lane Siekman,LaneSiekman,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,15.6,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
William Tanoos,Tanoos2018,,IN,U.S. House Indiana District 8,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-32.509998,100,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Daniel Canon,CanonForIndiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Canon,dancanon,,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Lost,None,None,-26.83,30.700001,No,White,No,No,No,No,No,No,,No,,,No,,,Yes,No,,No,,
Liz Watson,LizSchoffWatson,,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-26.83,66.400002,Yes,White,No,No,No,No,No,No,,Yes,,,Yes,,,No,Yes,,Yes,,
Rob Chatlos,chatcub71,,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Lost,None,None,-26.83,2.9000001,No,White,No,No,No,No,No,No,,No,,,No,,,No,No,,No,,
Arden Andersen,AndersenKS2018,,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,7.9000001,No,White,Yes,No,No,No,Yes,No,,No,No,,,,,,,,,,
Carl Brewer,BrewerForKansas,,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,20.6,No,Nonwhite,Yes,No,Yes,No,No,No,,No,No,,,,,,,,,,
Jack Bergeson,jackbergesongov,votebergeson18,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,2.5999999,No,White,No,No,No,No,No,No,,No,No,,,,,,,,,,
Joshua Svaty,JoshuaSvaty,,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,17.799999,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,
Laura Kelly,LauraKellyKS,,KS,Governor of Kansas,Governor,Regular,8/7/18,Advanced,None,On the Ballot,-23.41,51.400002,Yes,White,No,No,Yes,No,No,No,,Yes,No,,,,,,,,,,
Alan LaPolice,LapoliceAlan,,KS,U.S. House Kansas District 1,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-46.91,100,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,
Paul Davis,PaulDavisKS,,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-19.73,100,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,
Brent Welder,BrentWelder,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,33.900002,No,White,No,No,No,No,No,Yes,,No,Yes,,,Yes,Yes,Yes,Yes,No,,,
Jay Sidie,Jay4Congress,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,2.9000001,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,
Mike McCamon,mikeforkansas,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,6.9000001,No,White,No,No,No,No,Yes,No,,No,No,,,No,No,No,No,No,,,
Sharice Davids,sharicedavids,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-4.0100002,37.299999,Yes,Nonwhite,No,Yes,No,No,No,No,,Yes,No,,,No,No,No,No,Yes,,,
Sylvia Williams,SylviaForKansas,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,4.6999998,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,
Tom Niermann,TomNiermann,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,14.3,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,Yes,,,
James Thompson,JamesThompsonKS,,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-29.309999,65.300003,Yes,White,Yes,No,No,No,No,No,,,Yes,,,Yes,Yes,Yes,,,,,
Laura Lombard,LauraforKansas,,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Lost,None,None,-29.309999,34.700001,No,White,No,No,No,No,No,No,,,Yes,,,No,No,No,,,,,
Alonzo Pennington,Pennington4KY,,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Lost,None,None,-47.48,25.4,No,White,No,No,No,No,No,No,,,,,,,No,,,No,,,
Paul Walker,votepaulwalker,,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-47.48,74.599998,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,Yes,,,
Brian Pedigo,,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,-39.509998,28.68,No,White,No,No,No,No,No,No,,,,,,,No,,,,,,
Grant Short,Grant4KY,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,-39.509998,19.59,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,
Hank Linderman,hank4ky,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-39.509998,30.02,Yes,White,No,No,No,No,No,No,,,,,,,No,,,,,,
Rane Eir Olivia Sessions,RaneSessions,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,-39.509998,21.719999,No,White,Yes,No,No,No,No,No,,,,,,,No,,,,,,
Christina Lord,Lord4Congress,,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,None,None,-36.610001,21.709999,No,White,No,No,No,No,No,No,,,No,,,,,,,,,,
Patti Piatt,PiattPatti,,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,None,None,-36.610001,37.529999,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Seth Hall,HallCongress,,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-36.610001,40.77,Yes,White,No,No,No,No,No,No,,,No,,,,,,,,,,
Kenneth Stepp,ppetsnek,,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-62.060001,58.689999,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,
Scott Sykes,ScottSykesforKY,,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Lost,None,None,-62.060001,41.310001,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,
Amy McGrath,AmyMcGrathKY,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-17.41,48.66,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,Yes,
Daniel Kemph,,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,1.23,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,
Geoff Young,GeoffYoung4KY,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,1.5700001,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Jim Gray,JimGrayCongress,JimGrayLexKY,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,40.509998,No,White,No,Yes,Yes,No,No,No,,,,,,,,,,,,,
Reggie Thomas,ReggieThomasKY,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,7.1999998,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,No,
Theodore Green,,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,0.82999998,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,
