state,total_population,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct
AL,4841164.0,65.40142729265298,28.623775147557996,3.218275250693836,34.59857270734703,2.3159963279413347,51.274657143508215,37.864078718648436,16.930066222535313,38834.925373134334,10.103144431964646,19.14982217614911,83.08087026573612,15.425409296096914,80.15359931467181,67.08605044114239
AZ,6728577.0,51.21811946295832,1.7834595410263792,30.598919733886234,48.78188053704168,10.399851952409724,49.55214661175357,39.687833200248775,18.95175224718086,44166.53333333333,11.00250673838984,16.793000359351787,80.58943593545725,8.52557651556873,73.62491515511644,34.108520258701105
AR,2968472.0,75.92602847922365,16.168268207338105,4.9506195314934835,24.07397152077633,2.8775510583430663,50.5834930303032,37.3335028236145,18.25899820512231,37503.72,8.190428315343691,17.518906641744284,84.49962228052135,15.043414993652346,83.03102730289272,64.87068582903025
CA,38654206.0,55.251998781159934,2.9587964426735627,29.76185831465069,44.74800121884007,17.0192016584134,49.31306457669921,38.68123233557829,15.962776219588553,58091.241379310355,9.489257885216894,16.420404959398986,73.98855816102856,6.946791090132807,67.97394041098944,28.695742125734487
CO,5359295.0,74.8584157626752,1.5316864133674801,19.988523935768523,25.1415842373248,6.42923462045074,48.47361091818692,35.154119846481905,17.29423559211596,52243.59375,6.585371855707871,9.683519657410525,69.55588988222121,5.257205589345175,65.60958028063467,58.677926702032785
CT,3588570.0,76.54174590623533,6.413566233838563,11.136371189590855,23.458254093764662,10.473621483648584,50.822567541869724,36.922825115467205,15.787724950212464,72395.0,7.410152054551424,9.045763894564686,64.05065291521322,6.495212088694626,61.21389245549698,24.174818522176107
DE,934695.0,65.78364071898936,19.910068265686398,8.401802209606197,34.216359281010625,7.681840249225035,51.618145209717724,37.61357722309899,17.833617944187868,58561.66666666666,7.32772029141979,12.145254509587511,72.5214044160967,9.491392672318806,70.56551617202682,24.29179883145577
DC,659009.0,35.7691624848826,47.4283355766006,10.486351476231698,64.2308375151174,14.0381997817936,52.5607389276929,41.5982179302559,11.4059140315231,72935.0,8.73435006067341,10.0454214606142,44.639814080868796,0.617842406054856,9.188199210044349,0.0
FL,19934451.0,68.48088465453193,14.280769873652623,13.399822403201648,31.519115345468048,9.509447079108208,48.700134702708425,34.79739767345821,20.31028781379712,45205.37313432836,9.16262378303161,15.813912865970659,78.98418618806033,11.75158286669073,76.39748988013625,37.50118811033082
GA,10099320.0,62.87065795932827,28.03466081095676,6.164261820146142,37.12934204067172,4.604609351374654,50.396197441429536,39.18777065995624,15.635052357027991,41727.54716981132,9.110970004879922,19.033957660472872,82.42836346997603,14.703629339847287,79.33078297114001,60.488954243767424
HI,1413582.0,27.45602794802315,0.9559277967101114,10.828506865796347,72.54397205197684,16.30631942497565,49.98808705531478,36.75520845126458,16.5203463608778,67024.5,5.9057833362309005,8.391932398792871,71.39246459534523,3.565258285035348,58.07909765530598,16.570421364830743
ID,1635483.0,83.31629308482368,0.33221530036687075,12.581795067305787,16.683706915176316,6.159562171429463,49.17241704144318,39.65180790830915,17.096689833914002,44766.84090909091,6.248447020026313,12.432273321869836,78.88834559969266,8.132358354495379,77.25510887949926,61.46654826899569
IL,12851684.0,87.25235793219231,5.1368525731354175,4.729343013063262,12.747642067807671,3.2764456803694015,49.90649183473254,36.59773766605415,17.78596570804823,51240.75490196078,7.324402550949105,11.149394961515029,79.6402660651326,9.457050779540287,78.8486389569808,51.089662671698704
IN,6589578.0,90.98588643431823,2.656096473411381,3.7673600811409953,9.014113565681761,2.5809677035153697,50.217235522727506,38.21936296328301,16.15061378137161,50059.8152173913,6.302912966801071,12.674188779769306,81.44397494318677,11.742173865667635,81.17299454985006,54.4541328699362
IA,3106589.0,91.69612448528929,1.3024090269159394,4.407876914586202,8.303875514710704,2.987371975761264,50.155422932582894,36.84665429815046,18.914322401726547,51620.22222222222,4.245170524671463,8.876968665746679,79.23582720881305,7.479859889142588,78.82468820624929,61.324146853888685
KS,2898292.0,85.06922651592905,1.7419133151196873,9.528689875710032,14.930773484070956,4.558716012776375,49.77344856990013,37.88168879798857,18.9340007216598,48559.74285714285,4.344936766698105,10.593209259654449,77.74719850042945,7.824960506006807,76.42895093770026,66.88776581227283
KY,4411989.0,91.98093402100108,3.667924623220892,2.2377495973824626,8.019065978998926,1.6120836262325406,50.32320168019614,37.278169362161776,16.27598763732418,40051.05833333333,8.624758178975759,19.643957369747472,84.42045565450405,19.227986246974,84.12829696821045,71.64717324459635
LA,4645670.0,61.94054030596817,31.703561008203998,3.369230141160493,38.05945969403183,2.294999937442356,49.934358738509424,40.36533714245224,14.671725101278751,41937.09375,8.649427411336479,19.358777213976477,83.56604679326463,15.148039454248678,80.46091027568465,51.089872531606645
ME,1329923.0,94.50293914461369,0.7473516809014341,1.3526163735990036,5.497060855386302,2.980705634920205,50.879262174653356,32.44411139795855,19.746062927868255,47553.3125,6.629208659829569,8.593117221814435,73.94153914103146,8.339323863964593,73.89694004243145,74.19263258913541
MD,5959902.0,68.5817486096454,19.77720071670262,5.622186194553619,31.41825139035461,7.75983006745721,50.927924164485766,37.62933931144965,15.983602690461499,70159.41666666669,6.688625368022442,10.901868391100408,69.17334170588411,8.54601153650524,65.47496025232492,34.598276946799324
