candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,has_twitter,num_endorsements,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,kavanaugh_tweet_count,education_tweet_count,jobs_tweet_count,tax_tweet_count,fake_news_tweet_count,environment_tweet_count,sexual_assault_tweet_count,gender_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets,count_negative,count_neutral,count_positive,sentiment
Adia McClellan Winfrey,ElectDrDia,,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,None,-33.66,34.240002000000004,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,True,1,8,8,0,0,0,11,3,0,0,1,0,0,1,0,3,1,355,0.13802816901408452,0.12112676056338029,0.7408450704225352,3.2056338028169016
Mallory Hagan,ItsMalloryHagan,,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.66,65.739998,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,True,1,18,5,6,1,8,13,4,1,2,1,6,6,6,2,0,18,2008,0.20816733067729085,0.18276892430278885,0.6090637450199203,2.801792828685259
Lee Auman,LeeAuman2018,,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-62.48,54.130001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,True,1,3,1,0,4,2,0,4,0,0,0,0,0,0,0,0,5,255,0.16470588235294117,0.1411764705882353,0.6941176470588235,3.0588235294117645
Rick Neighbors,VoteRick2018 ,,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,None,-62.48,45.869999,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,True,0,4,5,0,1,0,6,4,0,0,0,0,0,0,0,0,0,88,0.045454545454545456,0.13636363636363635,0.8181818181818182,3.5454545454545454
Jared Henderson,JaredforGov,,AR,Governor of Arkansas,Governor,Regular,5/22/18,Advanced,None,On the Ballot,-28.639999,63.299999,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,True,0,0,6,0,0,0,18,2,5,0,1,0,0,0,0,2,0,304,0.06578947368421052,0.05921052631578947,0.875,3.6184210526315788
Leticia Sanders,LeticiaeSanders,,AR,Governor of Arkansas,Governor,Regular,5/22/18,Lost,None,None,-28.639999,36.700001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.0,0.5,2.0
Clarke Tucker,clarketucker,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-13.51,57.82,Yes,White,No,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,,True,2,5,35,0,6,2,19,18,3,0,4,1,1,1,0,5,3,615,0.1024390243902439,0.12357723577235773,0.7739837398373983,3.343089430894309
Gwen Combs,GwenCombs,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,20.299999,No,White,Yes,No,No,No,No,No,No,,Yes,,,,,,,,,,,True,1,40,42,7,7,28,30,14,2,0,8,4,4,5,2,4,17,621,0.17713365539452497,0.1996779388083736,0.6231884057971014,2.892109500805153
Jonathan Dunkley,votedunkleyar,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,9.3400002,No,Nonwhite,No,No,No,No,No,No,No,,No,,,,,,,,,,,True,0,3,4,0,0,0,4,3,0,0,0,0,0,0,0,0,0,59,0.0847457627118644,0.06779661016949153,0.847457627118644,3.5254237288135593
Paul Spencer,cantbuypaul,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,12.55,No,White,No,No,No,No,No,No,No,,No,,,,,,,,,,,True,0,15,30,0,0,0,7,13,1,0,2,0,0,0,1,0,4,388,0.3118556701030928,0.2345360824742268,0.4536082474226804,2.283505154639175
Brianna Westbrook,BWestbrookAZ8,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,-24.559999,39.720001,No,White,No,Yes,No,No,No,No,,,,,,,Yes,Yes,,,,,,True,2,68,63,18,22,14,48,42,21,0,23,4,4,4,43,4,53,1276,0.2774294670846395,0.19670846394984326,0.5258620689655172,2.4968652037617556
Hiral Tipirneni,hiral4congress,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,-24.559999,60.220001,Yes,Nonwhite,No,No,No,No,Yes,No,,,,,,,No,No,,,,,,True,0,17,73,3,13,11,26,14,16,0,1,3,3,3,0,2,11,719,0.1905424200278164,0.12795549374130738,0.6815020862308763,2.9819193324061195
Akinyemi Agbede,NextCalSenator,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.22,No,Nonwhite,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Albert Caesar Mezzetti,,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.28,No,White,Yes,No,Yes,No,No,No,,,No,,,,No,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Amanda Renteria,AmandaRenteria,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,2.1500001,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,,,,,,True,0,12,23,0,20,0,25,19,3,2,8,34,34,36,2,3,50,1512,0.16071428571428573,0.19576719576719576,0.6435185185185185,2.9656084656084656
Antonio Villaraigosa,antonio4ca,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,21.290001,No,Nonwhite,No,No,Yes,No,No,No,,,No,,,,No,,,,,,,True,0,23,41,5,54,4,53,38,5,2,9,1,1,1,3,4,102,856,0.26401869158878505,0.21845794392523366,0.5175233644859814,2.5070093457943927
Delaine Eastin,DelaineEastin,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,5.4000001,No,White,No,No,Yes,No,No,No,,,Yes,,,,Yes,,,,,,,True,2,8,17,1,7,0,16,4,2,0,5,11,11,12,1,0,7,434,0.14746543778801843,0.12442396313364056,0.728110599078341,3.161290322580645
Gavin Newsom,GavinNewsom,,CA,Governor of California,Governor,Regular,6/5/18,Advanced,None,On the Ballot,25.83,53.869999,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,No,,,,,,,True,1,72,40,6,32,4,12,12,11,2,16,0,0,2,13,9,109,725,0.33793103448275863,0.20275862068965517,0.4593103448275862,2.242758620689655
John Chiang,JohnChiangCA,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,15.08,No,Nonwhite,No,No,Yes,No,Yes,No,,,Yes,,,,No,,,,,,,True,1,67,69,27,72,0,78,53,7,0,29,33,33,34,7,12,184,1114,0.20377019748653502,0.26032315978456017,0.5359066427289049,2.6642728904847397
Juan Bribiesca,jmbribiesca,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.40000001,No,Nonwhite,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.19230769230769232,0.3076923076923077,0.5,2.6153846153846154
Klement Tinaj,TinajKlement,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.12,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,,,,,,True,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,20,0.15,0.15,0.7,3.1
Michael Shellenberger,ShellenbergerMD,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.73000002,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,,True,0,15,3,20,49,0,20,61,32,1,1026,2,2,2,2,3,74,5578,0.45715310147006094,0.27644316959483684,0.26640372893510217,1.6185012549300826
Robert Davidson Griffis,griff4gov,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.25999999,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,21,0.047619047619047616,0.09523809523809523,0.8571428571428571,3.619047619047619
Thomas Jefferson Cares,,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.20999999,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,-1,-1,-1,-1
Audrey Denney,audrey4congress,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-21.379999,43.650002,Yes,White,No,No,No,No,No,No,,,,,,,Yes,Yes,,No,,,,True,2,13,9,0,9,1,3,3,2,0,4,3,3,3,0,0,1,411,0.16058394160583941,0.12895377128953772,0.7104622871046229,3.099756690997567
David Peterson,HoldCongresAcct,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,7.3000002,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,True,0,16,35,3,7,0,4,27,10,0,64,18,18,18,3,6,232,2533,0.24082116067903672,0.2625345440189499,0.4966442953020134,2.5116462692459534
Jessica Holcombe,jjonesholcombe,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,28.540001,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,True,0,8,28,0,6,0,3,15,7,1,13,0,0,0,0,1,19,424,0.21462264150943397,0.15566037735849056,0.6297169811320755,2.830188679245283
Marty Walters,MartyWaltersEnv,,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,20.51,No,White,No,No,No,No,No,No,,,,,,,No,No,,Yes,,,,True,1,5,24,0,0,0,7,7,3,0,36,1,1,1,1,0,12,704,0.2585227272727273,0.19886363636363635,0.5426136363636364,2.5681818181818183
Dotty Nygard,DottyForTracy,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,1.89,No,White,No,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,,No,,,,True,2,10,38,0,11,0,6,7,7,0,5,5,5,5,3,4,19,315,0.23174603174603176,0.19047619047619047,0.5777777777777777,2.6920634920634923
Josh Harder,joshua_harder,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,On the Ballot,0.62,35.57,Yes,White,No,No,No,No,Yes,No,Yes,No,Yes,,,,No,No,,No,,,,True,2,7,71,0,63,1,7,36,13,0,1,1,1,1,0,0,28,610,0.2262295081967213,0.18688524590163935,0.5868852459016394,2.721311475409836
Michael Eggman,eggman4congress,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,21.34,No,White,No,No,No,No,No,No,No,No,No,,,,No,No,,No,,,,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0.42857142857142855,0.14285714285714285,0.42857142857142855,2.0
Mike Barkley,mjbarkl,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,4.98,No,White,Yes,No,No,No,Yes,No,No,No,No,,,,No,No,,No,,,,True,0,9,5,4,5,3,4,2,0,0,0,0,0,2,1,0,34,147,0.047619047619047616,0.4217687074829932,0.5306122448979592,2.9659863945578233
Sue Zwahlen,,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,17.049999,No,White,No,No,Yes,No,Yes,No,No,No,No,,,,No,No,,No,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,-1,-1,-1,-1
Virginia Madueno,VMforCA10,,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,19.17,No,Nonwhite,No,No,Yes,No,No,No,No,Yes,Yes,,,,No,No,,Yes,,,,True,3,38,39,1,11,0,7,7,22,0,0,1,1,1,1,2,100,415,0.2819277108433735,0.25542168674698795,0.46265060240963857,2.36144578313253
Andrew Janz,JanzAndrew,,CA,U.S. House California District 22,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-13.41,78.83000200000002,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,18,36,3,20,8,9,23,34,7,14,4,4,6,2,3,274,2354,0.2017841971112999,0.1949872557349193,0.6032285471537808,2.802888700084962
Bobby Bliatout,BobbyBliatout,,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,-13.41,12.26,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,5,8,0,5,0,4,1,0,0,0,0,0,1,0,1,3,71,0.07042253521126761,0.04225352112676056,0.8873239436619719,3.6338028169014085
Ricardo Franco,ricojfranco,,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,-13.41,8.909999800000003,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Kurtis Wilson,Kurt4Congress,,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379999,4.8400002,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Mary Helen Barro,BarroFor23,,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379999,18.200001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.058823529411764705,0.058823529411764705,0.8823529411764706,3.6470588235294117
Tatiana Matta,matta4congress,,CA,U.S. House California District 23,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-25.379999,42.720001,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Wendy Reed,WendyReedTweet,,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379999,34.25,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,5,8,1,13,12,2,3,2,1,6,2,2,2,0,1,76,757,0.3474240422721268,0.30779392338177014,0.34478203434610305,1.9947159841479525
Bryan Caforio,BryanCaforio,,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,2.02,38.259998,No,White,No,No,No,No,No,No,No,No,Yes,,,,No,Yes,,,,,,True,2,31,15,1,3,1,0,5,8,0,3,1,1,2,1,0,22,323,0.13003095975232198,0.13312693498452013,0.7368421052631579,3.2136222910216716
Jess Phoenix,jessphoenix2018,,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,2.02,13.24,No,White,No,No,No,No,Yes,No,No,No,Yes,,,,Yes,No,,,,,,True,2,352,150,37,72,49,109,76,49,1,254,22,22,24,64,30,446,9638,0.2634363975928616,0.20273915750155633,0.5338244449055821,2.540776094625441
Katie Hill,RepKatieHill,,CA,U.S. House California District 25,Representative,Regular,6/5/18,Advanced,None,On the Ballot,2.02,42.970001,Yes,White,No,Yes,No,No,No,No,Yes,Yes,Yes,,,,No,No,,,,,,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Mary Pallant,,,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,2.02,5.54,No,White,No,No,No,No,No,No,No,No,,,,,No,No,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Andy Thorburn,AndyThorburnCA,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,20.440001,No,White,No,No,No,Yes,No,No,No,No,Yes,,,,Yes,,,No,,No,,True,2,32,56,4,16,0,6,41,11,1,12,3,3,5,5,4,169,563,0.2557726465364121,0.22380106571936056,0.5204262877442274,2.5293072824156306
Gil Cisneros,GilCisnerosCA,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,None,On the Ballot,2.99,43.23,Yes,Nonwhite,Yes,No,No,Yes,No,No,Yes,No,Yes,,,,No,,,No,,Yes,,True,3,80,112,15,69,9,69,48,29,0,26,1,1,4,27,4,148,1171,0.2408198121263877,0.1340734415029889,0.6251067463706234,2.7685738684884713
Herbert Lee,drherbertlee,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,9.4200001,No,Nonwhite,No,No,No,Yes,Yes,No,No,No,No,,,,No,,,No,,No,,True,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0.8,0.0,0.2,0.8
Mai Khanh Tran,DocTran2018,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,11.69,No,Nonwhite,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,No,,,No,,No,,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Sam Jammal,samjammal,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,11.98,No,Nonwhite,No,No,No,No,No,Yes,No,No,Yes,,,,No,,,Yes,,No,,True,2,28,42,2,38,3,12,32,15,0,48,3,3,5,6,1,133,949,0.2876712328767123,0.19915700737618547,0.5131717597471022,2.4510010537407796
Suzi Park Leggett,,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,3.24,No,Nonwhite,No,No,No,No,No,No,No,No,No,,,,No,,,No,,No,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949,-1,-1,-1,-1
Jessica Morse,Morse4America,,CA,U.S. House California District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-18.16,49.099998,Yes,White,No,No,No,No,No,No,,,Yes,,,,No,No,,Yes,,,,True,2,27,46,0,7,3,17,35,12,0,35,2,2,2,5,5,10,1006,0.18588469184890655,0.13916500994035785,0.6749502982107356,2.978131212723658
Regina Bateson,regina_bateson,,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,30.07,No,White,No,No,No,No,No,No,,,Yes,,,,No,No,,No,,,,True,1,8,39,3,12,0,18,22,4,0,31,1,1,1,3,4,39,734,0.12125340599455041,0.14850136239782016,0.7302452316076294,3.217983651226158
Robert Lawton,,,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,5.25,No,White,No,No,No,No,No,No,,,No,,,,No,No,,No,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,-1,-1,-1,-1
Roza Calderon,rozacalderon,,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,15.57,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,No,,,,True,3,11,24,2,33,7,12,13,3,1,3,3,3,3,3,3,63,682,0.218475073313783,0.23020527859237536,0.5513196480938416,2.665689149560117
Julia Peacock,peacock4ca42,,CA,U.S. House California District 42,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-15.31,76.019997,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,True,2,186,61,10,40,3,91,52,16,2,19,13,13,17,24,18,104,2922,0.2292950034223135,0.22279260780287474,0.5479123887748117,2.6372347707049966
Norman Quintero,Normanquintero,,CA,U.S. House California District 42,Representative,Regular,6/5/18,Lost,None,None,-15.31,23.98,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,,,No,,,,True,0,1,1,0,5,0,2,0,0,0,0,0,0,0,0,0,7,182,0.09340659340659341,0.3516483516483517,0.554945054945055,2.923076923076923
Brian Forde,BrianForde,,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299999,13.06,No,White,No,No,No,No,Yes,Yes,No,No,Yes,,No,,No,,No,,,,,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Dave Min,DaveMinCA,,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299999,38.740002,No,Nonwhite,No,No,No,No,No,No,No,No,Yes,,No,,No,,No,,,,,True,1,64,39,4,22,25,23,16,86,3,24,5,5,11,5,6,282,1186,0.4190556492411467,0.19392917369308602,0.38701517706576727,1.9359190556492412
Katie Porter,katieporteroc,,CA,U.S. House California District 45,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-1.4299999,44.040001,Yes,White,No,No,No,No,No,No,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,,True,6,92,136,7,24,19,13,25,59,1,32,5,5,20,11,8,268,1373,0.2876911871813547,0.1995630007283321,0.5127458120903132,2.450109249817917
Kia Hamadanchy,KiaHamadanchy,,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299999,4.1500001000000015,No,Nonwhite,No,No,No,No,No,No,No,No,Yes,,No,,Yes,,No,,,,,True,2,24,18,1,17,4,7,3,11,0,12,4,4,5,0,1,92,517,0.30947775628626695,0.24177949709864605,0.44874274661508706,2.2785299806576402
Deanie Schaarsmith,,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,1.79,No,White,No,No,No,No,No,No,No,No,No,,,,,No,,No,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,-1,-1,-1,-1
Hans Keirstead,drhanskeirstead,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,37.439999,No,White,No,No,No,Yes,Yes,No,No,No,Yes,,,,,No,,No,,,,True,1,132,40,4,11,0,8,7,14,0,27,1,1,2,8,1,133,821,0.3118148599269184,0.2496954933008526,0.438489646772229,2.2533495736906213
Harley Rouda,HarleyRouda,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-4.1799998,37.599998,Yes,White,No,No,No,Yes,No,No,Yes,No,Yes,,,,,No,,Yes,,,,True,3,174,172,8,25,5,63,71,37,2,109,0,0,6,13,12,255,2952,0.18902439024390244,0.19037940379403795,0.6205962059620597,2.8631436314363143
Laura Oatman,RepHarley,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,3.01,No,White,No,No,No,No,Yes,No,No,No,No,,,,,Yes,,No,,,,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Michael Kotick,MichaelKotick,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,3.26,No,White,No,No,No,No,No,No,No,No,No,,,,,No,,No,,,,True,0,41,38,1,22,0,6,14,14,0,30,2,2,2,7,2,67,598,0.1956521739130435,0.2140468227424749,0.5903010033444817,2.789297658862876
Omar Siddiqui,OmarInTheHouse_,,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,10.81,No,Nonwhite,No,No,No,Yes,Yes,No,No,No,Yes,,,,,No,,No,,,,True,1,12,9,1,15,0,6,5,1,0,7,0,0,4,2,5,42,387,0.1111111111111111,0.17829457364341086,0.710594315245478,3.198966408268734
