candidate,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,num_endorsements,num_non_endorsements
Mike Dunleavy,AK,Governor of Alaska,Governor,Regular,8/21/18,Advanced,None,On the Ballot,61.8,Yes,,,,,,,,,,,,,,,0,0
Michael Sheldon,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,2.2,No,,,,,,,,,,,,,,,0,0
Mead Treadwell,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,31.9,No,,,,,,,,,,,,,,,0,0
Darin Colbry,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,0.6,No,,,,,,,,,,,,,,,0,0
Thomas Gordon,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,1.3,No,,,,,,,,,,,,,,,0,0
Merica Hlatcu,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,1.5,No,,,,,,,,,,,,,,,0,0
Gerald Heikes,AK,Governor of Alaska,Governor,Regular,8/21/18,Lost,None,None,0.7,No,,,,,,,,,,,,,,,0,0
Steve Smith,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Lost,None,None,37.8,No,Yes,,,,,,,Yes,,,Yes,,,,3,0
Wendy Rogers,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Advanced,None,On the Ballot,43.4,Yes,Yes,,,,,,,No,,,No,,,,1,2
Tiffany Shedd,AZ,U.S. House Arizona District 1,Representative,Regular,8/28/18,Lost,None,None,18.8,No,Yes,,,,,,,No,,,No,,,,1,2
Lea Marquez Peterson,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Advanced,None,On the Ballot,33.6,Yes,Yes,,,,,,,,Yes,,,,,,2,0
Casey Welch,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,21.4,No,No,,,,,,,,No,,,,,,0,2
Danny Morales,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,15.9,No,No,,,,,,,,No,,,,,,0,2
Brandon Martin,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,29.1,No,No,,,,,,,,No,,,,,,0,2
Edna San Miguel,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Lost,None,None,21.4,No,,,,,,,,,,,,,,,0,0
Sergio Arellano,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Lost,None,None,27.3,No,,,,,,,,,,,,,,,0,0
Nicolas Pierson,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Advanced,None,On the Ballot,51.4,Yes,,,,,,,,,,,,,,,0,0
Debbie Lesko,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,35.77,Yes,,,,,,,Yes,,Yes,Yes,,,,,3,0
Bob Stump,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,5.37,No,,,,,,,No,,No,No,,,,,0,3
Clair Van Steenwyk,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,2.37,No,,,,,,,No,,No,No,,,,,0,3
Phil Lovas,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,23.88,No,,,,,,,No,,No,No,,,,,0,3
Richard Mack,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.42,No,,,,,,,No,,No,No,,,,,0,3
Stephen Dolgos,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,0.48,No,,,,,,,No,,No,No,,,,,0,3
Steve Montenegro,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,23.82,No,,,,,,,No,,No,No,,,,,0,3
Christopher Sylvester,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.92,No,,,,,,,No,,No,No,,,,,0,3
David Lien,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.77,No,,,,,,,No,,No,No,,,,,0,3
Chad Allen,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.05,No,,,,,,,No,,No,No,,,,,0,3
Brenden Dilley,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.03,No,,,,,,,No,,No,No,,,,,0,3
Mark Yates,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.12,No,,,,,,,No,,No,No,,,,,0,3
Dave Giles,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Lost,None,None,33.3,No,No,,,,,,,,,,,,,,0,1
Steve Ferrara,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Advanced,None,On the Ballot,58.9,Yes,Yes,,,,,,,,,,,,,,1,0
Irina Baroness Von Behr,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Lost,None,None,7.8,No,No,,,,,,,,,,,,,,0,1
Joe Arpaio,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Lost,None,None,18.9,No,,,No,No,,,,,No,,,,,,0,3
Kelli Ward,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Lost,None,None,28.1,No,,,Yes,Yes,,,,,No,,,,,,2,1
Martha McSally,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Advanced,None,On the Ballot,53.0,Yes,,,No,No,,,,,Yes,,,,,,1,2
John Cox,CA,Governor of California,Governor,Regular,6/5/18,Advanced,None,On the Ballot,70.15,Yes,,Yes,,,,Yes,,,,,,,,,2,0
Peter Yuan Liu,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,1.08,No,,No,,,,No,,,,,,,,,0,2
Robert Newman,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,1.77,No,,No,,,,No,,,,,,,,,0,2
Travis Allen,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,26.15,No,,No,,,,No,,,,,,,,,0,2
Yvonne Girard,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,0.85,No,,No,,,,No,,,,,,,,,0,2
John Fitzgerald,CA,U.S. House California District 11,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Lisa Remmer,CA,U.S. House California District 12,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Cristina Osmeí±a,CA,U.S. House California District 14,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Rudy Peters,CA,U.S. House California District 15,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Elizabeth Heng,CA,U.S. House California District 16,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,,,,,,,,,,1,0
Ron Cohen,CA,U.S. House California District 17,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Christine Russell,CA,U.S. House California District 18,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Dale Mensing,CA,U.S. House California District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Justin Fareed,CA,U.S. House California District 24,Representative,Regular,6/5/18,Advanced,None,On the Ballot,78.37,Yes,Yes,,,,Yes,,,,,,,,,,2,0
Michael Erin Woody,CA,U.S. House California District 24,Representative,Regular,6/5/18,Lost,None,None,21.63,No,No,,,,No,,,,,,,,,,0,2
Antonio Sabato Jr.,CA,U.S. House California District 26,Representative,Regular,6/5/18,Advanced,None,On the Ballot,53.04,Yes,,,,,,,,,,,,,,,0,0
Jeffrey Burum,CA,U.S. House California District 26,Representative,Regular,6/5/18,Lost,None,None,46.96,No,,,,,,,,,,,Yes,,,,1,0
Johnny Nalbandian,CA,U.S. House California District 28,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Benito Bernal,CA,U.S. House California District 29,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Charlie Schaupp,CA,U.S. House California District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,Yes,,,,,,,,,1,0
Mark Reed,CA,U.S. House California District 30,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Sean Flynn,CA,U.S. House California District 31,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,,,,,,,,,,1,0
Kenneth Wright,CA,U.S. House California District 33,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Ron Bassilian,CA,U.S. House California District 34,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Christian Valiente,CA,U.S. House California District 35,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,0,0
Kimberlin Brown Pelzer,CA,U.S. House California District 36,Representative,Regular,6/5/18,Advanced,None,On the Ballot,51.61,Yes,Yes,,,,,,Yes,,,,,,,,2,0
Stephan Wolkowicz,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,10.41,No,No,,,,,,No,,,,,,,,0,2
Dan Ball,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,17.39,No,No,,,,,,No,,,,,,,,0,2
Doug Hassett,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,11.21,No,No,,,,,,No,,,,,,,,0,2
