candidate,twitter_handle,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support
372,,26,137,1,1,8,Advanced,None,On the Ballot,53.05,1,1,2,2,2,2,0,2,2,2,2,0,2,2,2
678,,26,137,1,1,8,Lost,None,None,46.95,0,1,2,2,2,2,1,2,2,2,2,1,2,2,2
591,,26,138,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
375,,26,139,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
231,,26,140,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
67,,26,233,2,1,8,Advanced,None,On the Ballot,75.13,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
84,,26,233,2,1,8,Lost,None,None,24.87,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
682,,27,12,0,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
302,,27,141,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
753,,27,142,1,1,8,Advanced,None,On the Ballot,49.0,1,1,2,2,2,1,2,1,2,2,1,2,2,2,2
532,,27,142,1,1,8,Lost,None,None,32.03,0,1,2,2,2,0,2,0,2,2,0,2,2,2,2
249,,27,142,1,1,8,Lost,None,None,12.42,0,2,2,2,2,0,2,0,2,2,0,2,2,2,2
139,,27,142,1,1,8,Lost,None,None,6.55,0,2,2,2,2,0,2,0,2,2,0,2,2,2,2
326,,27,143,1,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
518,,27,234,2,1,8,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,,28,11,0,1,6,Advanced,None,On the Ballot,71.49,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2
163,,28,11,0,1,6,Lost,None,None,9.09,0,2,0,2,2,0,2,2,2,0,2,2,2,2,2
244,,28,11,0,1,6,Lost,None,None,0.54,0,2,0,2,2,0,2,2,2,0,2,2,2,2,2
668,,28,11,0,1,6,Lost,None,None,4.5,0,2,0,2,2,0,2,2,2,0,2,2,2,2,2
303,,28,11,0,1,6,Lost,None,None,4.71,0,2,0,2,2,0,2,2,2,0,2,2,2,2,2
54,,28,11,0,1,6,Lost,None,None,4.24,0,2,0,2,2,0,2,2,2,0,2,2,2,2,2
223,,28,11,0,1,6,Lost,None,None,0.41,0,2,0,2,2,0,2,2,2,0,2,2,2,2,2
665,,28,11,0,1,6,Lost,None,None,0.71,0,2,0,2,2,0,2,2,2,0,2,2,2,2,2
394,,28,127,1,1,6,Advanced,None,On the Ballot,55.18,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
243,,28,127,1,1,6,Lost,None,None,44.82,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
170,,28,128,1,1,6,Advanced,None,On the Ballot,44.13,1,2,1,1,2,0,1,2,2,2,2,2,2,2,2
24,,28,128,1,1,6,Lost,None,None,3.54,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2
218,,28,128,1,1,6,Lost,None,None,1.04,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2
646,,28,128,1,1,6,Lost,None,None,16.79,0,2,2,0,2,1,0,2,2,2,2,2,2,2,2
553,,28,128,1,1,6,Lost,None,None,2.72,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2
183,,28,128,1,1,6,Lost,None,None,4.91,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2
516,,28,128,1,1,6,Lost,None,None,24.56,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2
669,,28,128,1,1,6,Lost,None,None,1.3,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2
698,,28,128,1,1,6,Lost,None,None,1.0,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2
149,,28,129,1,1,6,Advanced,None,On the Ballot,47.41,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2
318,,28,129,1,1,6,Lost,None,None,7.96,0,0,2,2,2,2,2,2,2,0,2,2,0,2,2
414,,28,129,1,1,6,Lost,None,None,11.27,0,0,2,2,2,2,2,2,2,0,2,2,0,2,2
528,,28,129,1,1,6,Lost,None,None,3.02,0,0,2,2,2,2,2,2,2,0,2,2,0,2,2
59,,28,129,1,1,6,Lost,None,None,11.37,0,0,2,2,2,2,2,2,2,0,2,2,0,2,2
180,,28,129,1,1,6,Lost,None,None,18.96,0,0,2,2,2,2,2,2,2,0,2,2,0,2,2
461,,29,13,0,1,17,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
535,,29,144,1,1,7,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
226,,29,145,1,1,7,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
341,,29,146,1,1,7,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,,29,147,1,1,7,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
307,,29,148,1,1,7,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
300,,29,149,1,1,7,Advanced,None,On the Ballot,100.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
349,,29,150,1,1,7,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
298,,29,151,1,1,7,Advanced,None,On the Ballot,100.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
587,,29,152,1,1,7,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
157,,29,153,1,1,7,Advanced,None,On the Ballot,100.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
13,,29,154,1,1,7,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
456,,29,155,1,1,7,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
119,,29,235,2,1,7,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
593,,30,14,0,1,5,Advanced,None,On the Ballot,59.84,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
485,,30,14,0,1,5,Lost,None,None,40.16,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2
52,,30,160,1,1,5,Advanced,None,On the Ballot,52.55,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
274,,30,160,1,1,5,Lost,None,None,47.45,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
728,,30,161,1,1,5,Advanced,None,On the Ballot,28.72,1,2,2,2,2,2,1,0,0,2,0,2,1,2,2
384,,30,161,1,1,5,Lost,None,None,1.66,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
728,,30,161,1,2,5,Advanced,None,On the Ballot,29.22,1,2,2,2,2,2,1,0,0,2,0,2,1,2,2
384,,30,161,1,2,5,Lost,None,None,1.45,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
352,,30,161,1,1,5,Lost,None,None,0.91,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
417,,30,161,1,1,5,Lost,None,None,14.26,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
550,,30,161,1,1,5,Lost,None,None,1.16,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
108,,30,161,1,1,5,Lost,None,None,6.48,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
707,,30,161,1,1,5,Lost,None,None,16.88,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
498,,30,161,1,1,5,Lost,None,None,27.58,0,2,2,2,2,2,0,1,1,2,1,2,0,2,2
440,,30,161,1,1,5,Lost,None,None,1.17,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
519,,30,161,1,1,5,Lost,None,None,1.18,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
417,,30,161,1,2,5,Lost,None,None,14.27,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
440,,30,161,1,2,5,Lost,None,None,1.17,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
707,,30,161,1,2,5,Lost,None,None,17.07,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
498,,30,161,1,2,5,Lost,None,None,28.25,0,2,2,2,2,2,0,1,1,2,1,2,0,2,2
550,,30,161,1,2,5,Lost,None,None,1.08,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
108,,30,161,1,2,5,Lost,None,None,6.4,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
519,,30,161,1,2,5,Lost,None,None,1.09,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2
131,,30,162,1,1,5,Advanced,None,On the Ballot,100.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
