candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,education_tweet_count,jobs_tweet_count,environment_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets
Carole Cheney,Carole4IL06,,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,17.4,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,67.0,54.0,168.0,2.698961937716263,18,17,0,8,2,16,4,2,2,0,45,289
Jennifer Zordani,JenniferZordani,,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,4.099999899999999,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,12.0,8.0,31.0,2.7450980392156863,8,0,0,0,0,0,0,0,0,0,5,51
Kelly Mazeski,KellyMazeski,,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,26.799999,No,White,No,No,No,No,Yes,No,No,Yes,No,,,,,,,,,,,51.0,43.0,197.0,3.0034364261168385,16,20,1,4,4,5,13,2,1,0,42,291
Ryan Huffman,HuffmanForIL6,,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,3.5,No,White,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,42.0,53.0,150.0,2.8816326530612244,9,12,2,2,6,9,6,2,0,1,11,245
Sean Casten,SeanCasten,,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Advanced,None,On the Ballot,0.67000002,29.5,Yes,White,No,No,No,Yes,Yes,No,Yes,No,Yes,,,,,,,,,,,591.0,530.0,819.0,2.2350515463917526,29,31,7,9,8,27,59,4,3,5,217,1940
Douglas Carpenter,,,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,5.3000002,No,White,No,No,No,No,Yes,No,,,No,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1940
John Petroff,johnhpetroff,,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,1.5,No,White,No,No,No,No,No,No,,,No,,,,,,,,,,,586.0,641.0,678.0,2.0965879265091862,46,23,25,29,5,10,19,25,1,5,431,1905
Mel Hall,melforcongress,,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-23.43,41.700001,Yes,White,No,No,No,Yes,Yes,No,,,No,,,,,,,,,,,79.0,63.0,350.0,3.1016260162601625,8,50,0,2,7,45,4,0,0,4,6,492
Pat Hackett,HackettCongress,,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,28.200001,No,White,No,Yes,No,No,No,No,,,No,,,,,,,,,,,13.0,19.0,122.0,3.415584415584416,4,8,0,3,4,2,0,1,3,3,4,154
Roland Leech,,,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,1.2,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,154
Yatish Joshi,joshiforindiana,,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,22.1,No,Nonwhite,No,No,No,Yes,Yes,No,,,Yes,,,,,,,,,,,26.0,23.0,153.0,3.2574257425742568,16,18,3,9,0,7,3,2,1,3,5,202
Courtney Tritch,dne,,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-35.48,79.099998,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,4.0,8.0,3.0,1.8666666666666667,0,0,0,0,0,0,0,0,0,0,0,15
John Roberson,,,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Lost,None,None,-35.48,10.2,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,15
Tommy Schrader,TommySchraderFW,,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Lost,None,None,-35.48,10.7,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Darin Patrick Griesey,Darin4Change,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001000000004,6.6999998,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,12.0,12.0,74.0,3.26530612244898,1,6,1,1,3,5,3,0,0,0,1,98
Joe Mackey,joe4hoosiers,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001000000004,16.1,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,1.0,3.0,2.0,2.333333333333333,0,1,0,0,0,1,1,0,0,0,0,6
Roger Day,DayForCongress,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001000000004,12.4,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Roland Ellis,,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001000000004,9.1999998,No,White,,,,No,,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Tobi Beck,BeckForIndiana,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-34.110001000000004,34.599998,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,86.0,69.0,286.0,2.9070294784580497,6,17,1,2,7,25,9,1,1,0,4,441
Veronikka Ziol,Ziol_4_IN_4th,,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001000000004,21.1,No,White,No,Yes,No,No,No,No,,,,,,,,,,,,,,54.0,25.0,11.0,1.0444444444444445,0,17,0,1,0,5,3,0,0,0,3,90
Dee Thornton,VoteThornton,,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-15.58,53.0,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,31.0,25.0,123.0,3.0279329608938546,10,9,0,0,4,5,0,3,1,0,2,179
Dion Douglas,Dion_IN05,,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,10.3,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,234.0,145.0,208.0,1.9114139693356047,5,21,0,1,4,11,0,2,3,0,49,587
Eshel Faraggi,,,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,7.599999900000001,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,587
Kyle Brenden Moore,,,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,23.700001,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,587
Sean Dugdale,,,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,5.5,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,587
George Thomas Holland,,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,11.1,No,White,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,587
Jeannine Lee Lake,JeannineLeeLake,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-38.529999,38.299999,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,71.0,64.0,300.0,3.052873563218391,9,8,4,2,11,11,2,1,1,4,13,435
Jim Pruett,PruettforIN,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,25.799999,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,5.0,5.0,31.0,3.268292682926829,2,0,0,0,1,1,0,0,0,1,2,41
Joshua Williamson,,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,7.3000002,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,41
K. Lave,,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,1.9,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,41
Lane Siekman,LaneSiekman,,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,15.6,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,339.0,226.0,324.0,1.9662542182227218,12,23,1,10,12,28,11,4,2,2,82,889
William Tanoos,Tanoos2018,,IN,U.S. House Indiana District 8,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-32.509997999999996,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,26.0,23.0,206.0,3.4117647058823533,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Canon,dancanon,,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Lost,None,None,-26.83,30.700001,No,White,No,No,No,No,No,No,,No,,,No,,,Yes,No,,No,,,829.0,659.0,1065.0,2.1848805327066203,27,39,2,30,16,26,0,0,9,5,95,2553
Liz Watson,LizSchoffWatson,,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-26.83,66.400002,Yes,White,No,No,No,No,No,No,,Yes,,,Yes,,,No,Yes,,Yes,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Rob Chatlos,chatcub71,,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Lost,None,None,-26.83,2.9000001,No,White,No,No,No,No,No,No,,No,,,No,,,No,No,,No,,,292.0,225.0,230.0,1.8340026773761715,11,7,4,4,0,3,0,0,2,0,53,747
Arden Andersen,AndersenKS2018,,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,7.900000099999999,No,White,Yes,No,No,No,Yes,No,,No,No,,,,,,,,,,,83.0,53.0,119.0,2.2823529411764705,1,27,0,2,20,9,5,1,0,0,0,255
Carl Brewer,BrewerForKansas,,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,20.6,No,Nonwhite,Yes,No,Yes,No,No,No,,No,No,,,,,,,,,,,68.0,78.0,363.0,3.1591355599214146,22,10,9,4,8,8,0,1,2,0,11,509
Jack Bergeson,jackbergesongov,votebergeson18,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,2.5999999,No,White,No,No,No,No,No,No,,No,No,,,,,,,,,,,0.0,0.0,0.0,,1,1,1,1,0,2,0,0,0,0,2,102
Joshua Svaty,JoshuaSvaty,,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,17.799999,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,,53.0,58.0,329.0,3.2545454545454544,3,12,0,1,6,3,3,0,1,0,2,440
Laura Kelly,LauraKellyKS,,KS,Governor of Kansas,Governor,Regular,8/7/18,Advanced,None,On the Ballot,-23.41,51.400002,Yes,White,No,No,Yes,No,No,No,,Yes,No,,,,,,,,,,,86.0,100.0,467.0,3.1669218989280243,9,32,3,7,46,17,1,1,2,0,1,653
Alan LaPolice,LapoliceAlan,,KS,U.S. House Kansas District 1,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-46.91,100.0,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,20.0,8.0,25.0,2.188679245283019,0,0,0,0,0,0,0,0,0,0,0,0
Paul Davis,PaulDavisKS,,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-19.73,100.0,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,168.0,104.0,238.0,2.2745098039215685,2,54,0,4,5,21,0,1,0,8,46,510
Brent Welder,BrentWelder,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,33.900002,No,White,No,No,No,No,No,Yes,,No,Yes,,,Yes,Yes,Yes,Yes,No,,,,124.0,144.0,603.0,3.0998851894374284,47,84,2,11,13,28,4,2,8,0,127,871
Jay Sidie,Jay4Congress,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,2.9000001,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Mike McCamon,mikeforkansas,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,6.900000099999999,No,White,No,No,No,No,Yes,No,,No,No,,,No,No,No,No,No,,,,30.0,35.0,212.0,3.3140794223826715,7,4,0,7,2,5,5,0,0,0,7,277
Sharice Davids,sharicedavids,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-4.0100002,37.299999,Yes,Nonwhite,No,Yes,No,No,No,No,,Yes,No,,,No,No,No,No,Yes,,,,93.0,74.0,798.0,3.461139896373057,33,34,2,21,18,4,3,0,23,1,33,965
Sylvia Williams,SylviaForKansas,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,4.6999998,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Tom Niermann,TomNiermann,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,14.3,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,Yes,,,,61.0,45.0,146.0,2.6746031746031744,22,18,1,5,9,11,3,0,2,0,12,252
James Thompson,JamesThompsonKS,,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-29.309998999999998,65.300003,Yes,White,Yes,No,No,No,No,No,,,Yes,,,Yes,Yes,Yes,,,,,,414.0,382.0,1718.0,3.0373906125696104,37,53,9,10,21,35,12,12,3,3,76,2514
Laura Lombard,LauraforKansas,,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Lost,None,None,-29.309998999999998,34.700001,No,White,No,No,No,No,No,No,,,Yes,,,No,No,No,,,,,,6.0,12.0,61.0,3.3924050632911382,4,3,0,5,2,3,1,2,1,2,4,79
Alonzo Pennington,Pennington4KY,,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Lost,None,None,-47.48,25.4,No,White,No,No,No,No,No,No,,,,,,,No,,,No,,,,12.0,18.0,94.0,3.3225806451612905,4,0,0,1,0,4,0,0,0,0,1,124
Paul Walker,votepaulwalker,,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-47.48,74.599998,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,Yes,,,,27.0,10.0,42.0,2.3797468354430378,1,8,0,0,8,9,0,1,0,0,2,79
Brian Pedigo,,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,-39.509997999999996,28.68,No,White,No,No,No,No,No,No,,,,,,,No,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,79
Grant Short,Grant4KY,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,-39.509997999999996,19.59,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,12.0,15.0,44.0,2.901408450704225,5,0,0,0,0,0,0,0,0,0,7,71
Hank Linderman,hank4ky,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-39.509997999999996,30.02,Yes,White,No,No,No,No,No,No,,,,,,,No,,,,,,,43.0,37.0,61.0,2.25531914893617,0,15,0,5,5,12,5,0,0,0,2,141
Rane Eir Olivia Sessions,RaneSessions,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,-39.509997999999996,21.719998999999998,No,White,Yes,No,No,No,No,No,,,,,,,No,,,,,,,340.0,286.0,322.0,1.962025316455696,6,25,0,25,5,26,1,0,1,1,66,948
Christina Lord,Lord4Congress,,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,None,None,-36.610001000000004,21.709999,No,White,No,No,No,No,No,No,,,No,,,,,,,,,,,140.0,120.0,154.0,2.0676328502415457,13,12,0,3,5,2,0,0,1,2,4,414
Patti Piatt,PiattPatti,,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,None,None,-36.610001000000004,37.529999,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,533.0,471.0,1288.0,2.658813263525305,83,51,5,11,9,34,13,12,15,4,39,2292
Seth Hall,HallCongress,,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-36.610001000000004,40.77,Yes,White,No,No,No,No,No,No,,,No,,,,,,,,,,,65.0,62.0,299.0,3.0985915492957745,3,21,0,3,11,20,5,1,0,2,11,426
Kenneth Stepp,ppetsnek,,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-62.060001,58.689999,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,0.0,1.0,6.0,3.7142857142857135,0,0,0,0,0,0,0,0,0,0,1,7
Scott Sykes,ScottSykesforKY,,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Lost,None,None,-62.060001,41.310001,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,32.0,34.0,109.0,2.88,0,20,0,0,14,17,6,0,0,1,0,175
Amy McGrath,AmyMcGrathKY,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-17.41,48.66,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,Yes,,373.0,214.0,703.0,2.511627906976744,15,42,3,6,18,26,5,2,2,9,48,1290
Daniel Kemph,,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,1.23,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,,,,,,0,0,0,0,0,0,0,0,0,0,0,1290
Geoff Young,GeoffYoung4KY,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,1.5700001000000001,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,63.0,23.0,31.0,1.4529914529914532,0,1,0,0,0,0,0,0,0,0,26,117
Jim Gray,JimGrayCongress,JimGrayLexKY,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,40.509997999999996,No,White,No,Yes,Yes,No,No,No,,,,,,,,,,,,,,31.0,22.0,144.0,3.1472081218274117,5,10,0,3,10,15,1,0,1,3,3,605
Reggie Thomas,ReggieThomasKY,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,7.1999998,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,No,,109.0,94.0,423.0,3.0031948881789137,27,43,0,4,14,17,2,1,2,2,18,626
Theodore Green,,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,0.82999998,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,,,,,,0,0,0,0,0,0,0,0,0,0,0,626
Alec Ross,AlecJRoss,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,2.3,No,White,No,No,No,No,Yes,Yes,,No,Yes,,,No,No,No,,,No,,,182.0,191.0,684.0,2.9498580889309367,30,6,1,3,69,35,13,5,1,2,19,1057
Ben Jealous,BenJealous,,MD,Governor of Maryland,Governor,Regular,6/26/18,Advanced,None,On the Ballot,23.799999,39.599998,Yes,Nonwhite,No,No,No,No,No,No,,No,Yes,,,Yes,Yes,Yes,,,Yes,,,516.0,454.0,1462.0,2.7779605263157894,49,314,6,32,192,96,24,5,11,9,132,2432
James Jones,,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,1.5,No,Nonwhite,No,No,No,No,No,No,,No,No,,,No,No,No,,,No,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2432
Jim Shea (Maryland),SheaforMD,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,8.300000200000001,No,White,No,No,No,Yes,No,No,,No,Yes,,,No,No,No,,,No,,,111.0,82.0,263.0,2.6666666666666665,15,7,3,5,52,23,7,0,2,3,23,456
Krishanti Vignarajah,KrishVignarajah,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,8.199999799999999,No,Nonwhite,No,No,No,No,No,Yes,,No,Yes,,,No,No,No,,,No,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Jaffe,,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,1.6,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,,,No,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Richard Madaleno,RichMadaleno,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,5.8000002,No,White,No,Yes,Yes,No,No,No,,No,Yes,,,No,No,No,,,No,,,253.0,277.0,805.0,2.8269662921348315,102,20,13,20,67,18,8,3,28,6,124,1335
Rushern Baker III,RushernBaker,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,29.4,No,Nonwhite,No,No,Yes,No,No,No,,No,Yes,,,No,No,No,,,No,,,109.0,102.0,580.0,3.190897597977244,22,14,0,11,43,36,15,0,1,2,32,791
Allison Galbraith,AllisonforMD,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,28.0,No,White,No,No,No,No,No,No,,,Yes,,,,No,,,,,No,,993.0,790.0,1168.0,2.1186038630972552,65,155,17,16,29,39,5,41,10,20,46,2951
Erik Lane,Erik4Congress,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,2.2,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,No,,3.0,6.0,15.0,3.0,3,0,0,3,2,0,0,0,0,0,0,24
Jesse Colvin,Colvin4Congress,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-29.66,38.0,Yes,White,Yes,No,No,No,No,No,,,Yes,,,,No,,,,,Yes,,179.0,133.0,435.0,2.6854082998661317,7,49,0,9,16,40,12,1,1,5,6,747
Michael Brown,SenMDBrown,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,15.0,No,,,,,No,,,,,No,,,,No,,,,,No,,37.0,32.0,124.0,2.9015544041450783,2,0,0,0,1,2,1,0,1,2,4,193
Michael Pullen,PullenforUs,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,12.9,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,No,,105.0,85.0,127.0,2.138801261829653,8,28,0,15,7,20,5,0,1,4,66,317
Steve Worton,,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,3.9000001,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,No,,,,,,0,0,0,0,0,0,0,0,0,0,0,317
Andrew Duck,,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,4.9000001,No,White,Yes,No,No,No,No,No,,No,Yes,,,,No,No,,,No,,,,,,,0,0,0,0,0,0,0,0,0,0,0,317
Aruna Miller,andrewjduck,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,30.700001,No,Nonwhite,No,No,Yes,No,Yes,No,,Yes,Yes,,,,No,No,,,No,,,24.0,8.0,18.0,1.76,0,1,0,1,0,1,0,0,0,1,19,50
Chris Graves,ChrisGravesMD06,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,1.6,No,White,No,No,No,No,No,No,,No,No,,,,No,No,,,No,,,203.0,81.0,112.0,1.5404040404040404,38,25,2,12,6,11,21,1,9,1,25,396
Christopher Hearsey,Hearsey4md6,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,0.89999998,No,White,No,No,No,No,Yes,No,,No,Yes,,,,No,No,,,No,,,406.0,364.0,501.0,2.14948859166011,16,7,2,8,11,13,11,2,2,8,281,1271
David Trone,davidjtrone,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Advanced,None,On the Ballot,11.89,40.299999,Yes,White,No,No,No,Yes,No,No,,No,Yes,,,,No,No,,,No,,,178.0,78.0,257.0,2.3079922027290447,19,17,6,13,21,9,1,3,3,0,70,513
George English,GeorgeZokle,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,1.1,No,White,No,No,No,No,No,No,,No,No,,,,No,No,,,No,,,1.0,0.0,2.0,2.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,3
Nadia Hashimi,HashimiForUS,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,10.4,No,Nonwhite,No,No,No,No,Yes,No,,No,Yes,,,,No,No,,,No,,,100.0,65.0,188.0,2.498583569405099,26,24,1,11,6,2,2,2,6,1,25,353
Roger Manno,RogerManno,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,10.3,No,White,No,No,Yes,No,No,No,,No,Yes,,,,Yes,Yes,,,Yes,,,15.0,18.0,113.0,3.3424657534246576,3,20,5,1,2,20,3,1,0,3,3,146
Adam Cote,CoteForMaine,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,28.129998999999998,No,White,Yes,No,No,No,No,No,,No,Yes,,,,,,,,No,,,13.0,20.0,98.0,3.2977099236641223,8,4,1,0,2,15,8,1,0,0,0,131
Betsy Sweet,Sweet4Governor,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,16.459999,No,White,No,Yes,No,No,No,No,,No,Yes,,,,,,,,Yes,,,50.0,44.0,418.0,3.4375,8,16,1,1,6,3,2,0,2,1,2,512
Diane Russell,MissWrite,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,2.1600001,No,White,No,No,Yes,No,No,No,,No,Yes,,,,,,,,Yes,,,493.0,488.0,646.0,2.188076213890596,8,25,7,5,2,6,3,24,3,1,118,1627
Donna Dion,,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,1.27,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,No,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1627
Janet T. Mills,JanetMillsforME,,ME,Governor of Maine,Governor,Regular,6/12/18,Advanced,None,On the Ballot,3.51,33.09,Yes,White,No,No,Yes,No,No,No,,Yes,No,,,,,,,,No,,,61.0,56.0,222.0,2.949852507374631,12,42,10,3,15,22,14,4,3,1,15,339
Mark Dion,dionforgovernor,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,4.1199999,No,White,No,No,Yes,No,No,No,,No,Yes,,,,,,,,No,,,2.0,9.0,21.0,3.1875,0,3,0,0,0,1,0,0,0,0,0,32
Mark Eves,MarkEvesforME,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,14.18,No,White,No,No,Yes,No,No,No,,No,Yes,,,,,,,,Yes,,,5.0,12.0,47.0,3.3125,11,1,0,1,0,1,0,0,0,0,1,64
