candidate,twitter_handle,state,district,office_type,race_type,race_primary,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,guns_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,num_endorsements,num_non_endorsements
A.J. Balukoff,,7,5,0,0,3,1,2,0,-34.330002,40.099998,0,1,0,0,0,1,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,,
Paulette E. Jordan,PauletteEJordan,7,5,0,0,3,0,2,1,-34.330002,58.400002,1,0,0,0,1,0,0,0,2,2,2,2,2,2,1,2,2,1,2,2,2,,
Peter Dill,,7,5,0,0,3,1,2,0,-34.330002,1.4,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,,
Christina McNeil,ForMcneil,7,60,1,0,3,0,2,1,-39.43,69.699997,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
James Vandermaas,ibdmoose,7,60,1,0,3,1,2,0,-39.43,15.8,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Michael Smith,,7,60,1,0,3,1,2,0,-39.43,14.5,0,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Aaron Swisher,SwisherforIdaho,7,61,1,0,3,0,2,1,-28.809998999999998,67.599998,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Peter Rickards,,7,61,1,0,3,1,2,0,-28.809998999999998,32.400002,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Bob Daiber,BobDaiber,8,6,0,0,1,1,2,0,14.48,1.1,0,1,0,0,1,0,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,,
Chris Kennedy,KennedyforIL,8,6,0,0,1,1,2,0,14.48,24.4,0,1,0,0,0,1,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,,
Daniel K. Biss,DanielBiss,8,6,0,0,1,1,2,0,14.48,26.700001,0,1,0,0,1,0,1,0,2,2,2,2,2,2,1,2,2,1,2,2,2,,
J.B. Pritzker,JBPritzker,8,6,0,0,1,0,2,1,14.48,45.099998,1,1,0,0,0,1,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,,
Robert Marshall,GovDrMarshall,8,6,0,0,1,1,2,0,14.48,1.1,0,1,1,0,0,0,1,0,2,2,2,2,2,2,0,2,2,0,2,2,2,,
Tio Hardiman,TioHardiman,8,6,0,0,1,1,2,0,14.48,1.6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,,
Brendan Kelly,Kelly4SouthrnIL,8,62,1,0,1,0,2,1,-13.26,81.0,1,1,1,0,0,0,0,0,1,2,2,1,2,2,2,2,2,2,2,1,2,,
David Bequette,dbequette,8,62,1,0,1,1,2,0,-13.26,19.0,0,1,1,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,0,2,,
Angel Sides,AngelS4Congress,8,63,1,0,1,1,2,0,-6.73,4.1999998,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,2,2,2,,
Betsy Londrigan,BetsyforIL,8,63,1,0,1,0,2,1,-6.73,45.700001,1,1,0,0,0,0,0,0,1,1,2,2,2,2,2,0,2,2,2,2,2,,
David Gill,GillForYou2016,8,63,1,0,1,1,2,0,-6.73,14.4,0,1,0,0,0,0,1,0,0,0,2,2,2,2,2,1,2,2,2,2,2,,
Erik Jones,ErikJones4IL,8,63,1,0,1,1,2,0,-6.73,22.4,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,2,2,2,,
Jonathan Ebel,jonathan_ebel,8,63,1,0,1,1,2,0,-6.73,13.3,0,1,1,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,2,2,2,,
Daniel Roldan-Johnson,WeCanMAF,8,64,1,0,1,1,2,0,-7.96,2.3,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,2,2,,
George Weber,Weber_4Congress,8,64,1,0,1,1,2,0,-7.96,5.0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,0,2,2,2,2,2,2,,
Jim Walz,WalzForCongress,8,64,1,0,1,1,2,0,-7.96,10.0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,2,2,2,2,2,2,,
John Hosta,JohnJHosta,8,64,1,0,1,1,2,0,-7.96,5.0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,2,2,,
Lauren Underwood,LaurenUnderwood,8,64,1,0,1,0,2,1,-7.96,57.299999,1,0,0,0,0,0,1,1,1,1,1,2,1,2,0,2,2,2,2,2,2,,
Matt Brolley,MattBrolley,8,64,1,0,1,1,2,0,-7.96,13.4,0,1,0,0,1,0,1,0,0,0,0,2,0,2,0,2,2,2,2,2,2,,
Victor Swanson,electvswanson,8,64,1,0,1,1,2,0,-7.96,7.0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,2,2,,
Carl Spoerer,CarlResists,8,65,1,0,1,1,2,0,-44.630001,37.900002,0,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Kevin Gaither,Gaither4IL,8,65,1,0,1,0,2,1,-44.630001,62.099998,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Amy Murri Briel,MurriBrielIL16,8,66,1,0,1,1,2,0,-17.360001,19.5,0,1,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,,
Beth Vercolio-Osmund,VercolioOsmund,8,66,1,0,1,1,2,0,-17.360001,13.0,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,,
Neill Mohammad,neill4illinois,8,66,1,0,1,1,2,0,-17.360001,27.200001,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,,
Sara Dady,Sara4Congress,8,66,1,0,1,0,2,1,-17.360001,40.299999,1,1,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,,
Brian Deters,deters4congress,8,67,1,0,1,1,2,0,-28.83,39.5,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Darrel Miller,,8,67,1,0,1,1,2,0,-28.83,18.799999,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Junius Rodriguez,18thIL,8,67,1,0,1,0,2,1,-28.83,41.700001,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Jesus Garcia,ChuyForCongress,8,68,1,0,1,0,2,1,65.089996,66.199997,1,0,0,0,1,0,0,0,2,0,2,2,2,1,1,2,2,2,2,2,2,,
Richard Gonzalez,RichG4Congress,8,68,1,0,1,1,2,0,65.089996,11.9,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,2,2,2,2,2,2,,
Sol Flores,SolAmoresFlores,8,68,1,0,1,1,2,0,65.089996,21.9,0,0,0,0,0,0,0,0,2,1,2,2,2,0,0,2,2,2,2,2,2,,
Amanda Howland,AmandaHowland06,8,69,1,0,1,1,2,0,0.67000002,12.7,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,,
Becky Anderson Wilkins,BeckyforIL,8,69,1,0,1,1,2,0,0.67000002,6.0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,,
Carole Cheney,Carole4IL06,8,69,1,0,1,1,2,0,0.67000002,17.4,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,,
Jennifer Zordani,JenniferZordani,8,69,1,0,1,1,2,0,0.67000002,4.099999899999999,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,,
Kelly Mazeski,KellyMazeski,8,69,1,0,1,1,2,0,0.67000002,26.799999,0,1,0,0,0,0,1,0,0,1,0,2,2,2,2,2,2,2,2,2,2,,
Ryan Huffman,HuffmanForIL6,8,69,1,0,1,1,2,0,0.67000002,3.5,0,1,0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,,
Sean Casten,SeanCasten,8,69,1,0,1,0,2,1,0.67000002,29.5,1,1,0,0,0,1,1,0,1,0,1,2,2,2,2,2,2,2,2,2,2,,
Douglas Carpenter,,9,70,1,0,5,1,2,0,-23.43,5.3000002,0,1,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,2,2,2,2,,
John Petroff,johnhpetroff,9,70,1,0,5,1,2,0,-23.43,1.5,0,1,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,,
Mel Hall,melforcongress,9,70,1,0,5,0,2,1,-23.43,41.700001,1,1,0,0,0,1,1,0,2,2,0,2,2,2,2,2,2,2,2,2,2,,
Pat Hackett,HackettCongress,9,70,1,0,5,1,2,0,-23.43,28.200001,0,1,0,1,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,,
Roland Leech,,9,70,1,0,5,1,2,0,-23.43,1.2,0,1,1,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,,
Yatish Joshi,joshiforindiana,9,70,1,0,5,1,2,0,-23.43,22.1,0,0,0,0,0,1,1,0,2,2,1,2,2,2,2,2,2,2,2,2,2,,
Courtney Tritch,dne,9,71,1,0,5,0,2,1,-35.48,79.099998,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
John Roberson,,9,71,1,0,5,1,2,0,-35.48,10.2,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Tommy Schrader,TommySchraderFW,9,71,1,0,5,1,2,0,-35.48,10.7,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Darin Patrick Griesey,Darin4Change,9,72,1,0,5,1,2,0,-34.110001000000004,6.6999998,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Joe Mackey,joe4hoosiers,9,72,1,0,5,1,2,0,-34.110001000000004,16.1,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Roger Day,DayForCongress,9,72,1,0,5,1,2,0,-34.110001000000004,12.4,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Roland Ellis,,9,72,1,0,5,1,2,0,-34.110001000000004,9.1999998,0,1,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Tobi Beck,BeckForIndiana,9,72,1,0,5,0,2,1,-34.110001000000004,34.599998,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Veronikka Ziol,Ziol_4_IN_4th,9,72,1,0,5,1,2,0,-34.110001000000004,21.1,0,1,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Dee Thornton,VoteThornton,9,73,1,0,5,0,2,1,-15.58,53.0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Dion Douglas,Dion_IN05,9,73,1,0,5,1,2,0,-15.58,10.3,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Eshel Faraggi,,9,73,1,0,5,1,2,0,-15.58,7.599999900000001,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Kyle Brenden Moore,,9,73,1,0,5,1,2,0,-15.58,23.700001,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Sean Dugdale,,9,73,1,0,5,1,2,0,-15.58,5.5,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
George Thomas Holland,,9,74,1,0,5,1,2,0,-38.529999,11.1,0,1,1,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Jeannine Lee Lake,JeannineLeeLake,9,74,1,0,5,0,2,1,-38.529999,38.299999,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Jim Pruett,PruettforIN,9,74,1,0,5,1,2,0,-38.529999,25.799999,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Joshua Williamson,,9,74,1,0,5,1,2,0,-38.529999,7.3000002,0,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
K. Lave,,9,74,1,0,5,1,2,0,-38.529999,1.9,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Lane Siekman,LaneSiekman,9,74,1,0,5,1,2,0,-38.529999,15.6,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
William Tanoos,Tanoos2018,9,75,1,0,5,0,2,1,-32.509997999999996,100.0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Daniel Canon,dancanon,9,76,1,0,5,1,2,0,-26.83,30.700001,0,1,0,0,0,0,0,0,2,0,2,2,0,2,2,1,0,2,0,2,2,,
Liz Watson,LizSchoffWatson,9,76,1,0,5,0,2,1,-26.83,66.400002,1,1,0,0,0,0,0,0,2,1,2,2,1,2,2,0,1,2,1,2,2,,
Rob Chatlos,chatcub71,9,76,1,0,5,1,2,0,-26.83,2.9000001,0,1,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,2,0,2,2,,
Arden Andersen,AndersenKS2018,10,8,0,0,10,1,2,0,-23.41,7.900000099999999,0,1,1,0,0,0,1,0,2,0,0,2,2,2,2,2,2,2,2,2,2,,
Carl Brewer,BrewerForKansas,10,8,0,0,10,1,2,0,-23.41,20.6,0,0,1,0,1,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,,
Jack Bergeson,jackbergesongov,10,8,0,0,10,1,2,0,-23.41,2.5999999,0,1,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,,
Jack Bergeson,votebergeson18,10,8,0,0,10,1,2,0,-23.41,2.5999999,0,1,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,,
Joshua Svaty,JoshuaSvaty,10,8,0,0,10,1,2,0,-23.41,17.799999,0,1,0,0,0,0,0,0,2,0,1,2,2,2,2,2,2,2,2,2,2,,
Laura Kelly,LauraKellyKS,10,8,0,0,10,0,2,1,-23.41,51.400002,1,1,0,0,1,0,0,0,2,1,0,2,2,2,2,2,2,2,2,2,2,,
Alan LaPolice,LapoliceAlan,10,80,1,0,10,0,2,1,-46.91,100.0,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Paul Davis,PaulDavisKS,10,81,1,0,10,0,2,1,-19.73,100.0,1,1,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Brent Welder,BrentWelder,10,82,1,0,10,1,2,0,-4.0100002,33.900002,0,1,0,0,0,0,0,1,2,0,1,2,2,1,1,1,1,0,2,2,2,,
Jay Sidie,Jay4Congress,10,82,1,0,10,1,2,0,-4.0100002,2.9000001,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,2,2,2,,
Mike McCamon,mikeforkansas,10,82,1,0,10,1,2,0,-4.0100002,6.900000099999999,0,1,0,0,0,0,1,0,2,0,0,2,2,0,0,0,0,0,2,2,2,,
Sharice Davids,sharicedavids,10,82,1,0,10,0,2,1,-4.0100002,37.299999,1,0,0,1,0,0,0,0,2,1,0,2,2,0,0,0,0,1,2,2,2,,
Sylvia Williams,SylviaForKansas,10,82,1,0,10,1,2,0,-4.0100002,4.6999998,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,2,2,2,,
Tom Niermann,TomNiermann,10,82,1,0,10,1,2,0,-4.0100002,14.3,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1,2,2,2,,
James Thompson,JamesThompsonKS,10,83,1,0,10,0,2,1,-29.309998999999998,65.300003,1,1,1,0,0,0,0,0,2,2,1,2,2,1,1,1,2,2,2,2,2,,
Laura Lombard,LauraforKansas,10,83,1,0,10,1,2,0,-29.309998999999998,34.700001,0,1,0,0,0,0,0,0,2,2,1,2,2,0,0,0,2,2,2,2,2,,
Alonzo Pennington,Pennington4KY,11,84,1,0,4,1,2,0,-47.48,25.4,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,0,2,2,2,,
Paul Walker,votepaulwalker,11,84,1,0,4,0,2,1,-47.48,74.599998,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,1,2,2,2,,
Brian Pedigo,,11,85,1,0,4,1,2,0,-39.509997999999996,28.68,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,,
Grant Short,Grant4KY,11,85,1,0,4,1,2,0,-39.509997999999996,19.59,0,1,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,,
Hank Linderman,hank4ky,11,85,1,0,4,0,2,1,-39.509997999999996,30.02,1,1,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,,
Rane Eir Olivia Sessions,RaneSessions,11,85,1,0,4,1,2,0,-39.509997999999996,21.719998999999998,0,1,1,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,,
Christina Lord,Lord4Congress,11,86,1,0,4,1,2,0,-36.610001000000004,21.709999,0,1,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,,
Patti Piatt,PiattPatti,11,86,1,0,4,1,2,0,-36.610001000000004,37.529999,0,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,,
Seth Hall,HallCongress,11,86,1,0,4,0,2,1,-36.610001000000004,40.77,1,1,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,,
Kenneth Stepp,ppetsnek,11,87,1,0,4,0,2,1,-62.060001,58.689999,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Scott Sykes,ScottSykesforKY,11,87,1,0,4,1,2,0,-62.060001,41.310001,0,1,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Amy McGrath,AmyMcGrathKY,11,88,1,0,4,0,2,1,-17.41,48.66,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,2,,
Daniel Kemph,,11,88,1,0,4,1,2,0,-17.41,1.23,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,,
Geoff Young,GeoffYoung4KY,11,88,1,0,4,1,2,0,-17.41,1.5700001000000001,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Jim Gray,JimGrayCongress,11,88,1,0,4,1,2,0,-17.41,40.509997999999996,0,1,0,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Jim Gray,JimGrayLexKY,11,88,1,0,4,1,2,0,-17.41,40.509997999999996,0,1,0,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Reggie Thomas,ReggieThomasKY,11,88,1,0,4,1,2,0,-17.41,7.1999998,0,0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,,
Theodore Green,,11,88,1,0,4,1,2,0,-17.41,0.82999998,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,,
Alec Ross,AlecJRoss,12,10,0,0,7,1,2,0,23.799999,2.3,0,1,0,0,0,0,1,1,2,0,1,2,2,0,0,0,2,2,0,2,2,,
Ben Jealous,BenJealous,12,10,0,0,7,0,2,1,23.799999,39.599998,1,0,0,0,0,0,0,0,2,0,1,2,2,1,1,1,2,2,1,2,2,,
James Jones,,12,10,0,0,7,1,2,0,23.799999,1.5,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,2,0,2,2,,
Jim Shea (Maryland),SheaforMD,12,10,0,0,7,1,2,0,23.799999,8.300000200000001,0,1,0,0,0,1,0,0,2,0,1,2,2,0,0,0,2,2,0,2,2,,
Krishanti Vignarajah,KrishVignarajah,12,10,0,0,7,1,2,0,23.799999,8.199999799999999,0,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,2,2,0,2,2,,
Ralph Jaffe,,12,10,0,0,7,1,2,0,23.799999,1.6,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,2,0,2,2,,
Richard Madaleno,RichMadaleno,12,10,0,0,7,1,2,0,23.799999,5.8000002,0,1,0,1,1,0,0,0,2,0,1,2,2,0,0,0,2,2,0,2,2,,
Rushern Baker III,RushernBaker,12,10,0,0,7,1,2,0,23.799999,29.4,0,0,0,0,1,0,0,0,2,0,1,2,2,0,0,0,2,2,0,2,2,,
Allison Galbraith,AllisonforMD,12,90,1,0,7,1,2,0,-29.66,28.0,0,1,0,0,0,0,0,0,2,2,1,2,2,2,0,2,2,2,2,0,2,,
Erik Lane,Erik4Congress,12,90,1,0,7,1,2,0,-29.66,2.2,0,1,0,0,0,0,1,0,2,2,0,2,2,2,0,2,2,2,2,0,2,,
Jesse Colvin,Colvin4Congress,12,90,1,0,7,0,2,1,-29.66,38.0,1,1,1,0,0,0,0,0,2,2,1,2,2,2,0,2,2,2,2,1,2,,
Michael Brown,SenMDBrown,12,90,1,0,7,1,2,0,-29.66,15.0,0,2,2,2,2,0,2,2,2,2,0,2,2,2,0,2,2,2,2,0,2,,
Michael Pullen,PullenforUs,12,90,1,0,7,1,2,0,-29.66,12.9,0,1,0,0,0,0,0,0,2,2,1,2,2,2,1,2,2,2,2,0,2,,
Steve Worton,,12,90,1,0,7,1,2,0,-29.66,3.9000001,0,1,0,0,0,0,0,0,2,2,0,2,2,2,0,2,2,2,2,0,2,,
Andrew Duck,,12,91,1,0,7,1,2,0,11.89,4.9000001,0,1,1,0,0,0,0,0,2,0,1,2,2,2,0,0,2,2,0,2,2,,
Aruna Miller,andrewjduck,12,91,1,0,7,1,2,0,11.89,30.700001,0,0,0,0,1,0,1,0,2,1,1,2,2,2,0,0,2,2,0,2,2,,
Chris Graves,ChrisGravesMD06,12,91,1,0,7,1,2,0,11.89,1.6,0,1,0,0,0,0,0,0,2,0,0,2,2,2,0,0,2,2,0,2,2,,
Christopher Hearsey,Hearsey4md6,12,91,1,0,7,1,2,0,11.89,0.89999998,0,1,0,0,0,0,1,0,2,0,1,2,2,2,0,0,2,2,0,2,2,,
David Trone,davidjtrone,12,91,1,0,7,0,2,1,11.89,40.299999,1,1,0,0,0,1,0,0,2,0,1,2,2,2,0,0,2,2,0,2,2,,
George English,GeorgeZokle,12,91,1,0,7,1,2,0,11.89,1.1,0,1,0,0,0,0,0,0,2,0,0,2,2,2,0,0,2,2,0,2,2,,
Nadia Hashimi,HashimiForUS,12,91,1,0,7,1,2,0,11.89,10.4,0,0,0,0,0,0,1,0,2,0,1,2,2,2,0,0,2,2,0,2,2,,
Roger Manno,RogerManno,12,91,1,0,7,1,2,0,11.89,10.3,0,1,0,0,1,0,0,0,2,0,1,2,2,2,1,1,2,2,1,2,2,,
Adam Cote,CoteForMaine,13,9,0,0,6,1,2,0,3.51,28.129998999999998,0,1,1,0,0,0,0,0,2,0,1,2,2,2,2,2,2,2,0,2,2,,
Betsy Sweet,Sweet4Governor,13,9,0,0,6,1,2,0,3.51,16.459999,0,1,0,1,0,0,0,0,2,0,1,2,2,2,2,2,2,2,1,2,2,,
Diane Russell,MissWrite,13,9,0,0,6,1,2,0,3.51,2.1600001,0,1,0,0,1,0,0,0,2,0,1,2,2,2,2,2,2,2,1,2,2,,
Donna Dion,,13,9,0,0,6,1,2,0,3.51,1.27,0,1,0,0,0,0,0,0,2,0,1,2,2,2,2,2,2,2,0,2,2,,
Janet T. Mills,JanetMillsforME,13,9,0,0,6,0,2,1,3.51,33.09,1,1,0,0,1,0,0,0,2,1,0,2,2,2,2,2,2,2,0,2,2,,
Mark Dion,dionforgovernor,13,9,0,0,6,1,2,0,3.51,4.1199999,0,1,0,0,1,0,0,0,2,0,1,2,2,2,2,2,2,2,0,2,2,,
Mark Eves,MarkEvesforME,13,9,0,0,6,1,2,0,3.51,14.18,0,1,0,0,1,0,0,0,2,0,1,2,2,2,2,2,2,2,1,2,2,,
Craig Olson,CraigForMe2,13,89,1,0,6,1,2,0,-8.130000099999998,8.8299999,0,2,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,0,2,,
Jared Golden,golden4congress,13,89,1,0,6,0,2,1,-8.130000099999998,46.419998,1,2,1,0,1,0,0,0,2,2,0,2,2,2,2,2,2,2,2,1,2,,
Lucas St. Clair,Lucasstclair,13,89,1,0,6,1,2,0,-8.130000099999998,39.240002000000004,0,2,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,0,2,,
Zak Ringelstein,RingelsteinME,13,231,2,0,6,0,2,1,3.51,100.0,1,2,0,0,0,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,,
Abdul El-Sayed,AbdulElSayed,14,11,0,0,10,1,2,0,-0.33000001,30.5,0,0,0,0,0,0,1,0,2,0,1,2,2,1,1,1,1,2,2,2,2,,
Gretchen Whitmer,gretchenwhitmer,14,11,0,0,10,0,2,1,-0.33000001,51.799999,1,1,0,0,1,0,0,0,2,1,1,2,2,0,0,0,0,2,2,2,2,,
Shri Thanedar,ShriForMI,14,11,0,0,10,1,2,0,-0.33000001,17.700001,0,0,0,0,0,1,1,0,2,0,1,2,2,0,0,0,0,2,2,2,2,,
Frank Accavitti Jr.,FrankAccavitti,14,92,1,0,10,1,2,0,-29.58,32.0,0,1,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Kimberly Bizon,electbizon2018,14,92,1,0,10,0,2,1,-29.58,41.099998,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Michael McCarthy (Michigan),,14,92,1,0,10,1,2,0,-29.58,26.9,0,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Fayrouz Saad,FayrouzSaad,14,93,1,0,10,1,2,0,-7.179999799999999,19.5,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,2,2,2,2,2,,
Haley Stevens,HaleyLive,14,93,1,0,10,0,2,1,-7.179999799999999,27.0,1,1,0,0,0,0,0,1,2,2,2,2,2,2,2,0,2,2,2,2,2,,
Nancy Skinner,CkunateTakjer,14,93,1,0,10,1,2,0,-7.179999799999999,10.4,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,,
Suneel Gupta,suneel,14,93,1,0,10,1,2,0,-7.179999799999999,21.299999,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,0,2,2,2,2,2,,
Tim Greimel,RepGreimel,14,93,1,0,10,1,2,0,-7.179999799999999,21.799999,0,1,0,0,1,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,,
Bill Wild,MayorWild,14,94,1,0,10,1,2,0,60.720001,14.0,0,1,0,0,1,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,,
Bill Wild,MayorWild,14,94,1,1,10,1,2,0,60.720001,15.2,0,1,0,0,1,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,,
Brenda Jones,VoteBrendaJones,14,94,1,1,10,0,2,1,60.720001,37.700001,1,0,0,0,1,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,,
Brenda Jones,VoteBrendaJones,14,94,1,0,10,1,2,0,60.720001,29.200001,0,0,0,0,1,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,,
Coleman Young II,ColemanYoungII,14,94,1,0,10,1,2,0,60.720001,12.0,0,0,0,0,1,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,,
