candidate,state,district,office_type,race_type,race_primary,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,guns_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,num_endorsements,num_non_endorsements
Antonio Villaraigosa,3,2,0,0,7,Lost,None,None,25.83,21.290001,0,0,0,0,1,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0,3
Delaine Eastin,3,2,0,0,7,Lost,None,None,25.83,5.4000001,0,1,0,0,1,0,0,0,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1
Gavin Newsom,3,2,0,0,7,Advanced,None,On the Ballot,25.83,53.869999,1,1,0,0,1,0,0,0,2,2,1,2,2,2,0,2,2,2,2,2,2,1,2
John Chiang,3,2,0,0,7,Lost,None,None,25.83,15.08,0,0,0,0,1,0,1,0,2,2,1,2,2,2,0,2,2,2,2,2,2,1,2
Juan Bribiesca,3,2,0,0,7,Lost,None,None,25.83,0.40000001,0,0,0,0,0,0,1,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0,3
Klement Tinaj,3,2,0,0,7,Lost,None,None,25.83,0.12,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0,3
Michael Shellenberger,3,2,0,0,7,Lost,None,None,25.83,0.73000002,0,1,0,0,0,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0,3
Robert Davidson Griffis,3,2,0,0,7,Lost,None,None,25.83,0.25999999,0,1,0,0,0,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0,3
Thomas Jefferson Cares,3,2,0,0,7,Lost,None,None,25.83,0.20999999,0,1,0,0,0,0,1,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0,3
Audrey Denney,3,32,1,0,7,Advanced,None,On the Ballot,-21.379998999999998,43.650002,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1,1,2,0,2,2,2,2,2
David Peterson,3,32,1,0,7,Lost,None,None,-21.379998999999998,7.3000002,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,0,2,0,2,2,2,0,4
Jessica Holcombe,3,32,1,0,7,Lost,None,None,-21.379998999999998,28.540001,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,0,2,0,2,2,2,0,4
Marty Walters,3,32,1,0,7,Lost,None,None,-21.379998999999998,20.51,0,1,0,0,0,0,0,0,2,2,2,2,2,2,0,0,2,1,2,2,2,1,3
Dotty Nygard,3,33,1,0,7,Lost,None,None,0.62,1.89,0,1,0,0,0,0,1,0,0,0,0,2,2,2,1,1,2,0,2,2,2,2,5
Josh Harder,3,33,1,0,7,Advanced,None,On the Ballot,0.62,35.57,1,1,0,0,0,0,1,0,1,0,1,2,2,2,0,0,2,0,2,2,2,2,5
Michael Eggman,3,33,1,0,7,Lost,None,None,0.62,21.34,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,2,2,2,0,7
Mike Barkley,3,33,1,0,7,Lost,None,None,0.62,4.98,0,1,1,0,0,0,1,0,0,0,0,2,2,2,0,0,2,0,2,2,2,0,7
Sue Zwahlen,3,33,1,0,7,Lost,None,None,0.62,17.049999,0,1,0,0,1,0,1,0,0,0,0,2,2,2,0,0,2,0,2,2,2,0,7
Virginia Madueno,3,33,1,0,7,Lost,None,None,0.62,19.17,0,0,0,0,1,0,0,0,0,1,1,2,2,2,0,0,2,1,2,2,2,3,4
TJ Cox,3,34,1,0,7,Advanced,None,On the Ballot,11.87,100.0,1,0,0,0,0,0,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,1,2
Andrew Janz,3,35,1,0,7,Advanced,None,On the Ballot,-13.41,78.83000200000002,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Bobby Bliatout,3,35,1,0,7,Lost,None,None,-13.41,12.26,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Ricardo Franco,3,35,1,0,7,Lost,None,None,-13.41,8.909999800000003,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Kurtis Wilson,3,36,1,0,7,Lost,None,None,-25.379998999999998,4.8400002,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Mary Helen Barro,3,36,1,0,7,Lost,None,None,-25.379998999999998,18.200001,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Tatiana Matta,3,36,1,0,7,Advanced,None,On the Ballot,-25.379998999999998,42.720001,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Wendy Reed,3,36,1,0,7,Lost,None,None,-25.379998999999998,34.25,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
Bryan Caforio,3,37,1,0,7,Lost,None,None,2.02,38.259997999999996,0,1,0,0,0,0,0,0,0,0,1,2,2,2,0,1,2,2,2,2,2,2,4
Jess Phoenix,3,37,1,0,7,Lost,None,None,2.02,13.24,0,1,0,0,0,0,1,0,0,0,1,2,2,2,1,0,2,2,2,2,2,2,4
Katie Hill,3,37,1,0,7,Advanced,None,On the Ballot,2.02,42.970001,1,1,0,1,0,0,0,0,1,1,1,2,2,2,0,0,2,2,2,2,2,3,3
Mary Pallant,3,37,1,0,7,Lost,None,None,2.02,5.54,0,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,2,2,2,2,0,5
Andy Thorburn,3,38,1,0,7,Lost,None,None,2.99,20.440001000000002,0,1,0,0,0,1,0,0,0,0,1,2,2,2,1,2,2,0,2,0,2,2,5
Gil Cisneros,3,38,1,0,7,Advanced,None,On the Ballot,2.99,43.23,1,0,1,0,0,1,0,0,1,0,1,2,2,2,0,2,2,0,2,1,2,3,4
