candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment
Jack Bergeson,jackbergesongov,votebergeson18,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,2.5999999,No,White,No,No,No,No,No,No,,No,No,,,,,,,,,,,0,0,0,
Joshua Svaty,JoshuaSvaty,,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,17.799999,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,,53,58,329,3.2545454545454544
Laura Kelly,LauraKellyKS,,KS,Governor of Kansas,Governor,Regular,8/7/18,Advanced,None,On the Ballot,-23.41,51.400002,Yes,White,No,No,Yes,No,No,No,,Yes,No,,,,,,,,,,,86,100,467,3.1669218989280243
Alan LaPolice,LapoliceAlan,,KS,U.S. House Kansas District 1,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-46.91,100,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,20,8,25,2.188679245283019
Paul Davis,PaulDavisKS,,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-19.73,100,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,168,104,238,2.2745098039215685
Brent Welder,BrentWelder,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,33.900002,No,White,No,No,No,No,No,Yes,,No,Yes,,,Yes,Yes,Yes,Yes,No,,,,124,144,603,3.0998851894374284
Jay Sidie,Jay4Congress,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,2.9000001,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,,0,0,0,
Mike McCamon,mikeforkansas,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,6.9000001,No,White,No,No,No,No,Yes,No,,No,No,,,No,No,No,No,No,,,,30,35,212,3.3140794223826715
Sharice Davids,sharicedavids,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-4.0100002,37.299999,Yes,Nonwhite,No,Yes,No,No,No,No,,Yes,No,,,No,No,No,No,Yes,,,,93,74,798,3.461139896373057
Sylvia Williams,SylviaForKansas,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,4.6999998,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,,0,0,0,
Tom Niermann,TomNiermann,,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,14.3,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,Yes,,,,61,45,146,2.6746031746031744
James Thompson,JamesThompsonKS,,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-29.309999,65.300003,Yes,White,Yes,No,No,No,No,No,,,Yes,,,Yes,Yes,Yes,,,,,,414,382,1718,3.0373906125696104
Laura Lombard,LauraforKansas,,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Lost,None,None,-29.309999,34.700001,No,White,No,No,No,No,No,No,,,Yes,,,No,No,No,,,,,,6,12,61,3.392405063291139
Alonzo Pennington,Pennington4KY,,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Lost,None,None,-47.48,25.4,No,White,No,No,No,No,No,No,,,,,,,No,,,No,,,,12,18,94,3.3225806451612905
Paul Walker,votepaulwalker,,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-47.48,74.599998,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,Yes,,,,27,10,42,2.3797468354430378
Brian Pedigo,,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,-39.509998,28.68,No,White,No,No,No,No,No,No,,,,,,,No,,,,,,,,,,
Grant Short,Grant4KY,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,-39.509998,19.59,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,12,15,44,2.9014084507042255
Hank Linderman,hank4ky,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-39.509998,30.02,Yes,White,No,No,No,No,No,No,,,,,,,No,,,,,,,43,37,61,2.25531914893617
Rane Eir Olivia Sessions,RaneSessions,,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,-39.509998,21.719999,No,White,Yes,No,No,No,No,No,,,,,,,No,,,,,,,340,286,322,1.9620253164556962
Christina Lord,Lord4Congress,,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,None,None,-36.610001,21.709999,No,White,No,No,No,No,No,No,,,No,,,,,,,,,,,140,120,154,2.0676328502415457
Patti Piatt,PiattPatti,,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,None,None,-36.610001,37.529999,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,533,471,1288,2.6588132635253054
Seth Hall,HallCongress,,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-36.610001,40.77,Yes,White,No,No,No,No,No,No,,,No,,,,,,,,,,,65,62,299,3.0985915492957745
Kenneth Stepp,ppetsnek,,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-62.060001,58.689999,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,0,1,6,3.7142857142857144
Scott Sykes,ScottSykesforKY,,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Lost,None,None,-62.060001,41.310001,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,32,34,109,2.88
Amy McGrath,AmyMcGrathKY,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-17.41,48.66,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,Yes,,373,214,703,2.511627906976744
Daniel Kemph,,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,1.23,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,,,,,
Geoff Young,GeoffYoung4KY,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,1.5700001,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,63,23,31,1.452991452991453
Jim Gray,JimGrayCongress,JimGrayLexKY,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,40.509998,No,White,No,Yes,Yes,No,No,No,,,,,,,,,,,,,,31,22,144,3.1472081218274113
Reggie Thomas,ReggieThomasKY,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,7.1999998,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,No,,109,94,423,3.0031948881789137
Theodore Green,,,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,-17.41,0.82999998,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,,,,,
Alec Ross,AlecJRoss,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,2.3,No,White,No,No,No,No,Yes,Yes,,No,Yes,,,No,No,No,,,No,,,182,191,684,2.9498580889309367
Ben Jealous,BenJealous,,MD,Governor of Maryland,Governor,Regular,6/26/18,Advanced,None,On the Ballot,23.799999,39.599998,Yes,Nonwhite,No,No,No,No,No,No,,No,Yes,,,Yes,Yes,Yes,,,Yes,,,516,454,1462,2.7779605263157894
James Jones,,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,1.5,No,Nonwhite,No,No,No,No,No,No,,No,No,,,No,No,No,,,No,,,,,,
Jim Shea (Maryland),SheaforMD,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,8.3000002,No,White,No,No,No,Yes,No,No,,No,Yes,,,No,No,No,,,No,,,111,82,263,2.6666666666666665
Krishanti Vignarajah,KrishVignarajah,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,8.1999998,No,Nonwhite,No,No,No,No,No,Yes,,No,Yes,,,No,No,No,,,No,,,0,0,0,
Ralph Jaffe,,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,1.6,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,,,No,,,,,,
Richard Madaleno,RichMadaleno,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,5.8000002,No,White,No,Yes,Yes,No,No,No,,No,Yes,,,No,No,No,,,No,,,253,277,805,2.8269662921348315
Rushern Baker III,RushernBaker,,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,23.799999,29.4,No,Nonwhite,No,No,Yes,No,No,No,,No,Yes,,,No,No,No,,,No,,,109,102,580,3.190897597977244
Allison Galbraith,AllisonforMD,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,28,No,White,No,No,No,No,No,No,,,Yes,,,,No,,,,,No,,993,790,1168,2.1186038630972552
Erik Lane,Erik4Congress,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,2.2,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,No,,3,6,15,3.0
Jesse Colvin,Colvin4Congress,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-29.66,38,Yes,White,Yes,No,No,No,No,No,,,Yes,,,,No,,,,,Yes,,179,133,435,2.6854082998661313
Michael Brown,SenMDBrown,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,15,No,,,,,No,,,,,No,,,,No,,,,,No,,37,32,124,2.901554404145078
Michael Pullen,PullenforUs,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,12.9,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,No,,105,85,127,2.138801261829653
Steve Worton,,,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,-29.66,3.9000001,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,No,,,,,
Andrew Duck,,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,4.9000001,No,White,Yes,No,No,No,No,No,,No,Yes,,,,No,No,,,No,,,,,,
Aruna Miller,andrewjduck,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,30.700001,No,Nonwhite,No,No,Yes,No,Yes,No,,Yes,Yes,,,,No,No,,,No,,,24,8,18,1.76
Chris Graves,ChrisGravesMD06,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,1.6,No,White,No,No,No,No,No,No,,No,No,,,,No,No,,,No,,,203,81,112,1.5404040404040404
Christopher Hearsey,Hearsey4md6,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,0.89999998,No,White,No,No,No,No,Yes,No,,No,Yes,,,,No,No,,,No,,,406,364,501,2.14948859166011
David Trone,davidjtrone,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Advanced,None,On the Ballot,11.89,40.299999,Yes,White,No,No,No,Yes,No,No,,No,Yes,,,,No,No,,,No,,,178,78,257,2.3079922027290447
George English,GeorgeZokle,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,1.1,No,White,No,No,No,No,No,No,,No,No,,,,No,No,,,No,,,1,0,2,2.6666666666666665
Nadia Hashimi,HashimiForUS,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,10.4,No,Nonwhite,No,No,No,No,Yes,No,,No,Yes,,,,No,No,,,No,,,100,65,188,2.498583569405099
Roger Manno,RogerManno,,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,11.89,10.3,No,White,No,No,Yes,No,No,No,,No,Yes,,,,Yes,Yes,,,Yes,,,15,18,113,3.3424657534246576
Adam Cote,CoteForMaine,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,28.129999,No,White,Yes,No,No,No,No,No,,No,Yes,,,,,,,,No,,,13,20,98,3.2977099236641223
Betsy Sweet,Sweet4Governor,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,16.459999,No,White,No,Yes,No,No,No,No,,No,Yes,,,,,,,,Yes,,,50,44,418,3.4375
Diane Russell,MissWrite,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,2.1600001,No,White,No,No,Yes,No,No,No,,No,Yes,,,,,,,,Yes,,,493,488,646,2.188076213890596
Donna Dion,,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,1.27,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,No,,,,,,
Janet T. Mills,JanetMillsforME,,ME,Governor of Maine,Governor,Regular,6/12/18,Advanced,None,On the Ballot,3.51,33.09,Yes,White,No,No,Yes,No,No,No,,Yes,No,,,,,,,,No,,,61,56,222,2.949852507374631
Mark Dion,dionforgovernor,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,4.1199999,No,White,No,No,Yes,No,No,No,,No,Yes,,,,,,,,No,,,2,9,21,3.1875
Mark Eves,MarkEvesforME,,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,3.51,14.18,No,White,No,No,Yes,No,No,No,,No,Yes,,,,,,,,Yes,,,5,12,47,3.3125
Craig Olson,CraigForMe2,,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Lost,None,None,-8.1300001,8.8299999,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,0,0,0,
Jared Golden,golden4congress,,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-8.1300001,46.419998,Yes,,Yes,No,Yes,No,No,No,,,No,,,,,,,,,Yes,,48,37,191,3.036231884057971
Lucas St. Clair,Lucasstclair,,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Lost,None,None,-8.1300001,39.240002,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,56,21,94,2.4444444444444446
Zak Ringelstein,RingelsteinME,,ME,U.S. Senate Maine,Senator,Regular,6/12/18,Advanced,None,On the Ballot,3.51,100,Yes,,No,No,No,No,No,No,,,Yes,,,,,,,,,,,195,135,233,2.1349911190053286
Abdul El-Sayed,AbdulElSayed,,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,-0.33000001,30.5,No,Nonwhite,No,No,No,No,Yes,No,,No,Yes,,,Yes,Yes,Yes,Yes,,,,,776,613,1430,2.46399432422845
Gretchen Whitmer,gretchenwhitmer,,MI,Governor of Michigan,Governor,Regular,8/7/18,Advanced,None,On the Ballot,-0.33000001,51.799999,Yes,White,No,No,Yes,No,No,No,,Yes,Yes,,,No,No,No,No,,,,,228,208,989,3.0680701754385966
Shri Thanedar,ShriForMI,,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,-0.33000001,17.700001,No,Nonwhite,No,No,No,Yes,Yes,No,,No,Yes,,,No,No,No,No,,,,,158,152,477,2.8106734434561624
Frank Accavitti Jr.,FrankAccavitti,,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,None,-29.58,32,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,2,0,22,3.6666666666666665
Kimberly Bizon,electbizon2018,,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-29.58,41.099998,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,68,85,447,3.263333333333333
Michael McCarthy (Michigan),,,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,None,-29.58,26.9,No,,,,,No,,No,,,,,,,,,,,,,,,,,
Fayrouz Saad,FayrouzSaad,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.1799998,19.5,No,Nonwhite,No,No,No,No,No,Yes,,,,,,,,Yes,,,,,,12,16,51,2.9873417721518987
Haley Stevens,HaleyLive,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-7.1799998,27,Yes,White,No,No,No,No,No,Yes,,,,,,,,No,,,,,,145,117,693,3.1476439790575914
Nancy Skinner,CkunateTakjer,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.1799998,10.4,No,White,No,No,No,No,No,No,,,,,,,,No,,,,,,0,0,0,
Suneel Gupta,suneel,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.1799998,21.299999,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,No,,,,,,86,84,257,2.800936768149883
Tim Greimel,RepGreimel,,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.1799998,21.799999,No,White,No,No,Yes,No,No,No,,,,,,,,No,,,,,,81,59,309,3.0155902004454345
Bill Wild,MayorWild,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,14,No,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,87,64,289,2.918181818181818
Bill Wild,MayorWild,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,15.2,No,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,87,64,289,2.918181818181818
Brenda Jones,VoteBrendaJones,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Advanced,None,On the Ballot,60.720001,37.700001,Yes,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,0,1,20,3.9047619047619047
Brenda Jones,VoteBrendaJones,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,29.200001,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,0,1,20,3.9047619047619047
Coleman Young II,ColemanYoungII,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,12,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,42,57,199,3.053691275167785
Ian Conyers,ianconyers,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,6.3000002,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,59,61,450,3.3719298245614033
Ian Conyers,ianconyers,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,11.2,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,59,61,450,3.3719298245614033
Rashida Tlaib,RashidaTlaib,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Advanced,None,On the Ballot,60.720001,33.200001,Yes,Nonwhite,No,No,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,,,,No,142,115,384,2.7550702028081124
Rashida Tlaib,RashidaTlaib,,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,35.900002,No,Nonwhite,No,No,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,,,,No,142,115,384,2.7550702028081124
Shanelle Jackson,ElectShanelle,,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,5.3000002,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,5,0,20,3.2
Rob Davidson,DrRobDavidson,,MI,U.S. House Michigan District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-18.959999,100,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,Yes,,,,317,296,546,2.395168248490078
Cathy Albro,cathyalbro,,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-11.41,68.199997,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,24,17,58,2.686868686868687
Fred Wooden,fred_wooden,,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Lost,None,None,-11.41,31.799999,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,77,77,128,2.3617021276595747
Jerry Hilliard,HilliardForCong,,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-23.129999,66.400002,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,9,7,26,2.8095238095238093
Zigmond Kozicki,zigpsych,,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Lost,None,None,-23.129999,33.599998,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,10,5,6,1.619047619047619
David Benac,David_Benac,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.1800003,21.700001,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,Yes,,,,,,172,126,441,2.7280108254397835
George Franklin,franklin4mich,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.1800003,28.1,No,White,No,No,No,No,No,No,,,Yes,,,,No,No,,,,,,44,37,201,3.1134751773049647
Matt Longjohn,MattLongjohn,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-9.1800003,37.299999,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,,8,11,80,3.4545454545454546
Rich Eichholz,RichEichholz,,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.1800003,13,No,White,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,,2,3,16,3.3333333333333335
Gretchen Driskell,gdriskell,,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-16.059999,85.199997,Yes,White,No,No,Yes,No,No,No,Yes,Yes,,,,,No,,,,,,,28,23,235,3.4475524475524475
Steven Friday,,,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Lost,None,None,-16.059999,14.8,No,White,Yes,No,No,No,No,No,No,No,,,,,Yes,,,,,,,,,,
Chris Smith,ChrisSmith2018,,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Lost,None,None,-8.3299999,29.1,No,White,No,No,No,No,No,No,,No,,No,,,,,,,,,,44,47,91,2.5164835164835164
Elissa Slotkin,ElissaSlotkin,,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-8.3299999,70.900002,Yes,White,No,No,No,No,No,Yes,,Yes,,Yes,,,,,,,,,,105,64,219,2.5876288659793816
Andy Levin,Andy_Levin,,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Advanced,None,On the Ballot,7.1399999,52.5,Yes,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,,95,52,281,2.869158878504673
Ellen Lipton,RepLipton,,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,None,None,7.1399999,42.400002,No,White,No,No,Yes,No,Yes,No,,Yes,Yes,,,,,,,,,,,66,29,129,2.5625
Martin Brook,,,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,None,None,7.1399999,5.0999999,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,,,,,
Bill Haas,votehaas,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,19.5,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,No,,637,719,1154,2.4119521912350597
Cort VanOstran,cortvo,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-14.18,41.700001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,174,156,594,2.909090909090909
John Messmer,JohnMessmer,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,9.6999998,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,134,214,234,2.343642611683849
Mark Osmack,mark_osmack,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,25.200001,No,White,Yes,No,No,No,No,No,,,Yes,,,,,,,,,Yes,,324,377,942,2.752282410225198
Robert Hazel,RobertWHazel69,,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,4,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,,141,80,68,1.494809688581315
Katy Geppert,KatyforCongress,,MO,U.S. House Missouri District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-38.259998,100,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,17,6,61,3.0476190476190474
Hallie Thompson,HallieForMO,,MO,U.S. House Missouri District 4,Representative,Regular,8/7/18,Lost,None,None,-35.73,48.099998,No,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,8,14,59,3.259259259259259
Renee Hoagenson,ReneeHoagenson,,MO,U.S. House Missouri District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-35.73,51.900002,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,384,214,828,2.622720897615708
Ed Andres,,,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Lost,None,None,-31.610001,27.700001,No,,,,,No,,No,,,,,,,No,,,,,,,,,,
Henry Martin,hmforcongress,,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-31.610001,41.5,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,No,,,,,,,118,109,257,2.574380165289256
Winston Apple,WinstonApple,,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Lost,None,None,-31.610001,30.799999,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,10,10,26,2.6956521739130435
Jamie Schoolcraft,Schoolcraft4Mo,,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-46.130001,40.599998,Yes,White,Yes,No,Yes,No,Yes,No,,,Yes,,,,,Yes,,,,,,49,56,165,2.859259259259259
John Farmer de la Torre,farmer4ozarks,,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,-46.130001,21.700001,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,No,,,,,,55,68,161,2.7464788732394365
Kenneth Hatfield,,,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,-46.130001,22.299999,No,,,,,No,,No,,,No,,,,,No,,,,,,,,,
Vincent Jennings,vincentjennings,,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,-46.130001,15.4,No,,,,,No,,No,,,Yes,,,,,No,,,,,,506,436,1357,2.74032187907786
Kathy Ellis,ellis4missouri,,MO,U.S. House Missouri District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-51.810001,100,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,57,30,215,3.0463576158940397
Randy Wadkins,Wadkins2018,,MS,U.S. House Mississippi District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.509998,100,Yes,,No,No,No,No,Yes,No,,,,,,,,,,,,,,29,29,176,3.2564102564102564
Michael Aycox,aycoxforms,,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Lost,None,None,-26.129999,30.66,No,,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,30,20,162,3.2452830188679247
Michael Evans,RepEvans45,,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-26.129999,69.339996,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,,14,21,170,3.521951219512195
