candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,has_twitter,num_endorsements,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,kavanaugh_tweet_count,education_tweet_count,jobs_tweet_count,tax_tweet_count,fake_news_tweet_count,environment_tweet_count,sexual_assault_tweet_count,gender_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets,count_negative,count_neutral,count_positive,sentiment
Adia McClellan Winfrey,ElectDrDia,,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,None,-33.66,34.240002000000004,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,True,1,8,8,0,0,0,11,3,0,0,1,0,0,1,0,3,1,355,49,43,263,3.2056338028169016
Mallory Hagan,ItsMalloryHagan,,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.66,65.739998,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,True,1,18,5,6,1,8,13,4,1,2,1,6,6,6,2,0,18,2008,418,367,1223,2.801792828685259
Lee Auman,LeeAuman2018,,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-62.48,54.130001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,True,1,3,1,0,4,2,0,4,0,0,0,0,0,0,0,0,5,255,42,36,177,3.0588235294117645
Rick Neighbors,VoteRick2018 ,,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,None,-62.48,45.869999,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,True,0,4,5,0,1,0,6,4,0,0,0,0,0,0,0,0,0,88,4,12,72,3.5454545454545454
Jared Henderson,JaredforGov,,AR,Governor of Arkansas,Governor,Regular,5/22/18,Advanced,None,On the Ballot,-28.639999,63.299999,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,True,0,0,6,0,0,0,18,2,5,0,1,0,0,0,0,2,0,304,20,18,266,3.6184210526315788
Leticia Sanders,LeticiaeSanders,,AR,Governor of Arkansas,Governor,Regular,5/22/18,Lost,None,None,-28.639999,36.700001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2.0
Clarke Tucker,clarketucker,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-13.51,57.82,Yes,White,No,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,,True,2,5,35,0,6,2,19,18,3,0,4,1,1,1,0,5,3,615,63,76,476,3.343089430894309
Gwen Combs,GwenCombs,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,20.299999,No,White,Yes,No,No,No,No,No,No,,Yes,,,,,,,,,,,True,1,40,42,7,7,28,30,14,2,0,8,4,4,5,2,4,17,621,110,124,387,2.892109500805153
Jonathan Dunkley,votedunkleyar,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,9.3400002,No,Nonwhite,No,No,No,No,No,No,No,,No,,,,,,,,,,,True,0,3,4,0,0,0,4,3,0,0,0,0,0,0,0,0,0,59,5,4,50,3.5254237288135593
Paul Spencer,cantbuypaul,,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,12.55,No,White,No,No,No,No,No,No,No,,No,,,,,,,,,,,True,0,15,30,0,0,0,7,13,1,0,2,0,0,0,1,0,4,388,121,91,176,2.283505154639175
Brianna Westbrook,BWestbrookAZ8,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,-24.559999,39.720001,No,White,No,Yes,No,No,No,No,,,,,,,Yes,Yes,,,,,,True,2,68,63,18,22,14,48,42,21,0,23,4,4,4,43,4,53,1276,354,251,671,2.4968652037617556
Hiral Tipirneni,hiral4congress,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,-24.559999,60.220001,Yes,Nonwhite,No,No,No,No,Yes,No,,,,,,,No,No,,,,,,True,0,17,73,3,13,11,26,14,16,0,1,3,3,3,0,2,11,719,137,92,490,2.9819193324061195
Akinyemi Agbede,NextCalSenator,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.22,No,Nonwhite,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albert Caesar Mezzetti,,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.28,No,White,Yes,No,Yes,No,No,No,,,No,,,,No,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Amanda Renteria,AmandaRenteria,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,2.1500001,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,,,,,,True,0,12,23,0,20,0,25,19,3,2,8,34,34,36,2,3,50,1512,243,296,973,2.9656084656084656
Antonio Villaraigosa,antonio4ca,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,21.290001,No,Nonwhite,No,No,Yes,No,No,No,,,No,,,,No,,,,,,,True,0,23,41,5,54,4,53,38,5,2,9,1,1,1,3,4,102,856,226,187,443,2.5070093457943927
Delaine Eastin,DelaineEastin,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,5.4000001,No,White,No,No,Yes,No,No,No,,,Yes,,,,Yes,,,,,,,True,2,8,17,1,7,0,16,4,2,0,5,11,11,12,1,0,7,434,64,54,316,3.161290322580645
Gavin Newsom,GavinNewsom,,CA,Governor of California,Governor,Regular,6/5/18,Advanced,None,On the Ballot,25.83,53.869999,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,No,,,,,,,True,1,72,40,6,32,4,12,12,11,2,16,0,0,2,13,9,109,725,245,147,333,2.242758620689655
